tm,stnId,stnNm,ta,hm,ws,wd,rn,pa,ps,ss,icsr,dc10Tca,dc10LmcsCa,ts
2024-06-01 00:00,112,인천,17.2,88,2.6,200,,1002.3,1010.4,,,9,9,18.9
2024-06-01 01:00,112,인천,16.9,89,2.4,200,,1002.0,1010.1,,,7,7,18.5
2024-06-01 02:00,112,인천,16.8,90,2.3,200,,1002.0,1010.1,,,4,4,18.1
2024-06-01 03:00,112,인천,17.0,90,2.4,200,,1001.9,1010.0,,,9,9,18.2
2024-06-01 04:00,112,인천,16.8,91,2.7,230,,1002.1,1010.2,,,9,9,18.1
2024-06-01 05:00,112,인천,17.0,91,1.7,270,,1002.4,1010.5,,,6,6,17.8
2024-06-01 06:00,112,인천,16.9,88,2.1,320,,1002.8,1010.9,0.0,0.04,5,5,17.3
2024-06-01 07:00,112,인천,17.2,85,2.4,320,,1003.2,1011.3,0.2,0.31,2,2,18.0
2024-06-01 08:00,112,인천,18.0,77,3.1,340,,1003.2,1011.2,0.8,0.97,3,2,20.4
2024-06-01 09:00,112,인천,19.0,67,3.5,290,,1003.6,1011.6,1.0,2.04,2,2,25.5
2024-06-01 10:00,112,인천,19.9,62,3.0,290,,1003.7,1011.7,0.9,2.45,2,1,28.9
2024-06-01 11:00,112,인천,20.8,57,3.9,320,,1003.8,1011.8,1.0,3.17,2,1,33.3
2024-06-01 12:00,112,인천,21.8,50,2.6,290,,1003.5,1011.4,1.0,3.54,1,1,36.4
2024-06-01 13:00,112,인천,22.4,48,3.4,290,,1003.2,1011.1,1.0,3.64,1,1,38.1
2024-06-01 14:00,112,인천,23.3,49,4.3,290,,1002.7,1010.6,1.0,3.55,2,2,37.9
2024-06-01 15:00,112,인천,22.2,54,4.5,250,,1002.4,1010.3,1.0,3.24,2,2,37.3
2024-06-01 16:00,112,인천,22.0,58,4.8,250,,1001.9,1009.8,1.0,2.77,1,1,33.9
2024-06-01 17:00,112,인천,21.7,56,4.9,270,,1001.6,1009.5,1.0,2.11,1,1,30.0
2024-06-01 18:00,112,인천,20.7,58,5.6,270,,1001.3,1009.3,1.0,1.39,1,1,25.4
2024-06-01 19:00,112,인천,20.1,65,2.7,250,,1001.1,1009.1,1.0,0.65,0,0,22.5
2024-06-01 20:00,112,인천,18.9,72,1.7,200,,1001.2,1009.2,0.6,0.11,0,0,20.4
2024-06-01 21:00,112,인천,19.2,64,3.3,320,,1001.9,1009.9,,,0,0,19.0
2024-06-01 22:00,112,인천,18.8,59,2.8,320,,1002.6,1010.6,,,0,0,18.0
2024-06-01 23:00,112,인천,18.6,57,3.7,290,,1002.8,1010.8,,,0,0,17.2
2024-06-02 00:00,112,인천,17.8,68,2.7,320,,1002.9,1010.9,,,0,0,16.8
2024-06-02 01:00,112,인천,17.5,68,3.2,290,,1003.3,1011.4,,,0,0,16.3
2024-06-02 02:00,112,인천,17.3,67,2.7,290,,1002.8,1010.9,,,0,0,16.0
2024-06-02 03:00,112,인천,16.7,66,1.9,230,,1002.8,1010.9,,,0,0,15.4
2024-06-02 04:00,112,인천,16.7,71,1.8,270,,1002.8,1010.9,,,0,0,15.3
2024-06-02 05:00,112,인천,16.3,72,1.2,270,,1002.9,1011.0,,,0,0,15.0
2024-06-02 06:00,112,인천,16.2,79,2.0,320,,1002.6,1010.7,0.2,0.06,0,0,15.0
2024-06-02 07:00,112,인천,17.2,79,2.0,320,,1003.1,1011.2,1.0,0.57,0,0,16.8
2024-06-02 08:00,112,인천,18.4,65,1.5,340,,1002.9,1010.9,1.0,1.26,0,0,20.2
2024-06-02 09:00,112,인천,19.5,58,1.5,320,,1002.8,1010.8,1.0,1.98,0,0,25.4
2024-06-02 10:00,112,인천,21.0,55,2.2,290,,1002.6,1010.6,1.0,2.62,0,0,30.0
2024-06-02 11:00,112,인천,21.7,53,3.1,250,,1002.3,1010.2,1.0,3.14,0,0,34.4
2024-06-02 12:00,112,인천,21.9,59,3.0,200,,1002.3,1010.2,1.0,3.48,1,1,37.5
2024-06-02 13:00,112,인천,22.2,57,3.9,250,,1002.0,1009.9,1.0,3.57,1,1,38.8
2024-06-02 14:00,112,인천,22.3,55,4.2,250,,1001.5,1009.4,1.0,3.49,1,1,38.4
2024-06-02 15:00,112,인천,22.2,43,4.7,250,,1001.2,1009.1,1.0,3.18,1,1,37.8
2024-06-02 16:00,112,인천,22.2,48,4.1,230,,1001.3,1009.2,1.0,2.69,1,1,34.3
2024-06-02 17:00,112,인천,21.1,61,3.1,230,,1001.1,1009.1,1.0,1.96,7,1,30.4
2024-06-02 18:00,112,인천,20.9,54,3.4,250,,1000.8,1008.8,1.0,1.25,3,1,26.2
2024-06-02 19:00,112,인천,20.3,55,3.0,230,,1000.9,1008.9,1.0,0.62,0,0,22.9
2024-06-02 20:00,112,인천,19.2,56,3.9,250,,1001.3,1009.3,0.5,0.11,0,0,20.6
2024-06-02 21:00,112,인천,18.7,58,2.8,250,,1001.7,1009.7,,,0,0,19.3
2024-06-02 22:00,112,인천,18.2,60,2.7,230,,1002.2,1010.2,,,0,0,18.4
2024-06-02 23:00,112,인천,17.7,66,2.0,230,,1002.1,1010.1,,,0,0,17.7
2024-06-03 00:00,112,인천,17.5,69,1.5,200,,1002.3,1010.4,,,0,0,17.2
2024-06-03 01:00,112,인천,16.9,72,1.6,180,,1001.9,1010.0,,,0,0,16.7
2024-06-03 02:00,112,인천,16.6,72,0.5,180,,1001.8,1009.9,,,0,0,16.2
2024-06-03 03:00,112,인천,16.5,76,1.3,360,,1001.8,1009.9,,,0,0,15.8
2024-06-03 04:00,112,인천,16.4,76,1.3,20,,1001.7,1009.8,,,0,0,15.5
2024-06-03 05:00,112,인천,16.3,72,0.9,340,,1002.0,1010.1,,,2,1,15.2
2024-06-03 06:00,112,인천,16.2,73,1.2,70,,1002.5,1010.6,0.1,0.06,1,0,15.4
2024-06-03 07:00,112,인천,17.4,74,0.5,230,,1003.0,1011.1,1.0,0.54,1,0,17.4
2024-06-03 08:00,112,인천,20.0,65,1.4,110,,1003.1,1011.1,1.0,1.24,0,0,20.6
2024-06-03 09:00,112,인천,21.9,61,1.6,90,,1003.1,1011.0,1.0,1.97,0,0,26.1
2024-06-03 10:00,112,인천,23.5,50,2.1,70,,1002.9,1010.8,1.0,2.62,0,0,31.6
2024-06-03 11:00,112,인천,24.4,39,2.0,50,,1002.9,1010.7,1.0,3.14,1,1,35.7
