datetime_kst,고흥만수상,삼천포,영흥,광양항세방,예천,영동,탑선,구미,경상대,여수,창원
2025-02-01 07:00,,,,,,,,,,,
2025-02-01 08:00,,,,,,,,,,,
2025-02-01 09:00,,,,,,,,,,,
2025-02-01 10:00,103.2,126.9,285.2,81.6,202.3,206.9,135.6,158.2,118.7,112.1,87.1
2025-02-01 11:00,120.8,109.2,382.0,135.0,234.2,262.9,170.9,152.7,126.0,92.2,132.4
2025-02-01 12:00,138.2,157.4,512.7,141.1,247.8,361.0,185.3,171.5,157.6,178.0,142.8
2025-02-01 13:00,0.0,188.1,481.7,123.8,234.8,375.1,233.4,194.0,190.6,203.5,143.6
2025-02-01 14:00,234.3,151.3,460.1,165.3,245.0,441.0,275.4,267.3,110.3,168.8,103.0
2025-02-01 15:00,220.6,240.4,396.7,304.8,204.1,372.5,324.1,265.6,220.1,260.1,206.1
2025-02-01 16:00,176.7,156.0,289.8,163.2,279.7,294.6,247.0,163.1,177.7,177.9,192.1
2025-02-01 17:00,162.1,,,,,,99.6,,,159.3,
2025-02-01 18:00,,,,,,,,,,,
2025-02-02 07:00,,,,,,,,,,,
2025-02-02 08:00,,,,,,,,,,,
2025-02-02 09:00,252.2,220.0,208.1,217.4,187.3,275.8,226.6,190.2,218.3,237.3,213.1
2025-02-02 10:00,274.8,308.0,326.5,252.9,328.9,396.0,354.9,259.5,317.5,284.3,365.5
2025-02-02 11:00,448.5,358.2,355.2,297.8,309.5,483.4,537.7,296.7,392.6,377.1,449.0
2025-02-02 12:00,596.9,575.4,484.4,589.6,427.1,521.1,595.4,349.7,612.9,559.8,588.8
2025-02-02 13:00,478.7,642.6,490.6,564.0,502.7,541.4,593.4,356.2,602.3,580.2,579.6
2025-02-02 14:00,334.3,553.4,413.6,359.1,475.8,520.6,464.1,553.3,556.7,307.7,559.5
2025-02-02 15:00,474.4,411.5,354.9,229.5,426.5,437.0,312.2,466.9,385.1,368.2,359.3
2025-02-02 16:00,365.5,328.1,289.6,304.4,300.7,307.3,336.7,321.6,162.8,353.2,208.2
2025-02-02 17:00,177.0,,,149.6,,,174.5,,,179.3,
2025-02-02 18:00,,,,,,,,,,,
2025-02-03 07:00,,,,,,,,,,,
2025-02-03 08:00,,,,,,,,,,,
2025-02-03 09:00,285.3,326.4,215.6,248.5,254.5,249.1,183.9,262.9,307.2,286.5,258.0
2025-02-03 10:00,,,,,,,,,,,
2025-02-03 11:00,501.0,607.7,447.3,501.6,459.1,491.3,306.2,507.1,544.3,539.1,528.1
2025-02-03 12:00,582.2,631.6,502.3,560.3,494.4,536.6,234.0,546.4,589.3,584.7,576.3
2025-02-03 13:00,528.3,641.2,508.3,571.8,491.7,546.3,564.4,547.2,596.3,589.0,575.8
2025-02-03 14:00,546.1,607.8,476.0,544.3,489.8,520.9,152.4,529.4,571.0,567.8,561.8
2025-02-03 15:00,472.1,517.9,390.1,459.5,424.0,452.4,316.0,466.3,498.9,496.5,491.6
2025-02-03 16:00,355.7,371.0,285.0,327.9,310.9,330.5,321.7,342.4,361.9,364.1,362.6
2025-02-03 17:00,189.6,184.6,137.4,161.7,,,163.1,,,192.4,
2025-02-03 18:00,,,,,,,,,,,
2025-02-04 07:00,,,,,,,,,,,
2025-02-04 08:00,,,,,,,,,,,
2025-02-04 09:00,,,,,,,,,,,
2025-02-04 10:00,396.0,471.7,369.8,379.4,377.4,400.6,272.5,377.2,445.5,435.1,434.7
2025-02-04 11:00,,,,,,,,,,,
2025-02-04 12:00,,,,,,,,,,,
2025-02-04 13:00,443.1,635.3,463.5,267.9,487.1,543.3,63.4,546.2,591.3,543.3,592.9
2025-02-04 14:00,551.2,604.3,503.5,559.0,477.3,523.0,0.0,528.5,571.6,532.1,559.8
2025-02-04 15:00,383.3,522.9,333.6,465.1,435.3,455.4,285.2,465.8,501.9,463.5,494.1
2025-02-04 16:00,332.6,374.7,265.8,301.3,317.3,332.0,160.2,344.0,368.4,375.4,360.7
2025-02-04 17:00,217.0,193.7,148.9,158.6,,,150.2,,191.4,167.0,
2025-02-04 18:00,,,,,,,,,,,
2025-02-05 07:00,,,,,,,,,,,
2025-02-05 08:00,,,,,,,,,,,
2025-02-05 09:00,288.5,320.1,206.0,261.0,265.2,276.9,221.0,286.1,299.2,300.1,306.9
2025-02-05 10:00,437.4,474.6,322.3,408.0,386.5,375.0,284.4,424.9,444.8,456.6,454.4
2025-02-05 11:00,562.0,578.9,392.7,516.2,459.3,428.4,286.5,512.2,543.5,555.9,548.9
2025-02-05 12:00,610.3,628.7,521.6,565.6,507.1,522.1,327.4,546.1,576.3,591.8,582.6
2025-02-05 13:00,437.2,473.8,526.9,539.4,518.0,501.3,235.9,550.0,373.0,591.3,595.7
2025-02-05 14:00,300.4,339.1,498.8,528.6,481.9,521.8,240.2,529.2,464.4,458.1,527.8
2025-02-05 15:00,315.7,390.6,428.1,434.0,413.2,460.1,392.3,345.1,463.9,266.9,456.2
2025-02-05 16:00,241.2,283.0,198.0,316.7,321.0,300.3,298.5,330.6,351.8,386.9,369.9
2025-02-05 17:00,116.7,190.3,181.2,167.0,,,145.1,,163.3,201.6,192.5
2025-02-05 18:00,,,,,,,,,,,
2025-02-06 07:00,,,,,,,,,,,
2025-02-06 08:00,,,,,,,,,,,
2025-02-06 09:00,276.6,323.6,225.1,266.4,266.0,280.0,230.5,290.0,303.2,294.9,298.7
2025-02-06 10:00,399.9,479.2,361.9,376.6,386.5,416.4,240.7,427.4,449.9,299.7,442.9
2025-02-06 11:00,528.0,384.2,461.4,340.0,456.8,504.9,339.9,514.5,441.4,465.1,441.4
2025-02-06 12:00,524.2,376.5,516.5,519.0,487.7,546.4,389.2,551.1,505.6,453.6,502.4
2025-02-06 13:00,457.3,498.0,484.0,495.5,490.6,551.9,316.4,553.4,439.7,494.0,515.7
2025-02-06 14:00,484.2,553.5,430.9,528.9,469.4,531.5,395.9,518.4,554.6,576.4,533.2
2025-02-06 15:00,405.4,490.7,303.9,440.9,425.4,463.9,401.0,372.9,492.2,480.8,488.0
2025-02-06 16:00,237.6,378.4,289.4,328.9,323.7,342.2,312.8,327.1,368.8,372.7,363.3
2025-02-06 17:00,182.9,189.8,148.0,153.2,,,185.6,,181.7,194.0,163.2
2025-02-06 18:00,,,,,,,,,,,
2025-02-07 07:00,,,,,,,,,,,
2025-02-07 08:00,,,,,,,,,,,
2025-02-07 09:00,271.4,255.2,127.1,230.5,195.8,205.2,179.2,139.7,287.5,256.5,286.5
2025-02-07 10:00,299.2,338.4,328.9,328.7,274.3,189.4,184.6,374.3,225.6,340.9,434.2
2025-02-07 11:00,446.7,142.8,435.6,466.8,397.5,197.2,239.0,230.6,383.3,449.1,202.4
2025-02-07 12:00,256.8,634.2,268.6,502.3,171.0,357.1,226.3,246.0,589.3,317.2,573.6
2025-02-07 13:00,0.0,550.6,446.0,323.0,437.1,419.8,317.4,403.6,508.4,195.5,426.6
2025-02-07 14:00,446.4,574.9,428.0,484.2,347.3,422.6,178.9,516.6,536.7,154.1,388.3
2025-02-07 15:00,455.0,411.3,348.9,361.1,456.1,384.5,161.5,224.0,513.4,162.1,369.0
2025-02-07 16:00,296.4,331.3,244.2,286.9,298.1,311.0,237.7,288.3,365.6,331.7,381.6
2025-02-07 17:00,214.8,200.4,133.7,166.1,,,185.7,183.3,190.3,224.5,193.4
2025-02-07 18:00,,,,,,,,,,,
2025-02-08 07:00,,,,,,,,,,,
2025-02-08 08:00,,,,,,,,,,,
