설비명,사업소,호기,설비용량,설계기준_내부(In),설계기준_외부(Out),제거효율,설비형식,설치연도
탈질설비,여수,2,328,156,30,80.77,SCR,2011.0
탈질설비,영흥,1,800,190,53.2,72.0,SCR,
탈질설비,영흥,2,800,190,53.2,72.0,SCR,
탈질설비,영흥,3,870,150,14,90.0,SCR,
탈질설비,영흥,4,870,150,14,90.0,SCR,
탈질설비,영흥,5,870,,8.5,93.8,SCR,
탈질설비,영흥,6,870,,8.5,93.8,SCR,
탈질설비,삼천포,1,560,300,80,73.3,SCR,2010.0
탈질설비,삼천포,2,560,300,80,73.3,SCR,2010.0
탈질설비,삼천포,3,560,320,90,72.0,SCR,2005.0
탈질설비,삼천포,4,560,320,90,72.0,SCR,2005.0
탈황설비,여수,2,328,1367,150,90.0,Spray Tower,1999.0
탈황설비,영동,1,125,1500,150,90.0,가스층 다공판형,1998.0
탈황설비,영동,2,200,1500,150,90.0,가스층 다공판형,1998.0
탈황설비,영흥,1,800,552,45,94.5,Open Spray,2004.0
탈황설비,영흥,2,800,552,45,94.5,Open Spray,2004.0
탈황설비,영흥,3,870,429.9,25,97.0,Open Spray,2008.0
탈황설비,영흥,4,870,429.9,25,97.0,Open Spray,2008.0
탈황설비,영흥,5,870,0,12,98.9,Open Spray,2014.0
탈황설비,영흥,6,870,0,12,98.9,Open Spray,2014.0
탈황설비,삼천포,1,560,770,70,91.0,"Spray, 향류식",2004.0
탈황설비,삼천포,2,560,770,70,91.0,"Spray, 향류식",2004.0
탈황설비,삼천포,3,560,770,70,91.0,"Spray, 향류식",2004.0
탈황설비,삼천포,4,560,770,70,91.0,"Spray, 향류식",2004.0
중수도처리설비,영흥,1,60,"pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):100이하","pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):100이하",80.0,EDR,2006.0
중수도처리설비,영흥,2,60,"pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):100이하","pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):100이하",80.0,EDR,2006.0
중수도처리설비,영흥,3,60,"pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):101이하","pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):101이하",80.0,EDR,2007.0
중수도처리설비,영흥,4,60,"pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):101이하","pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):101이하",80.0,EDR,2007.0
중수도처리설비,영흥,회처리장,60,"pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):120이하","pH:6~8, SS:5㎎/L이하, Cl-(㎎/L):120이하",70.0,EDR,2009.0
전기집진설비,여수,2,328,26800,15,99.94,옥외/수평/건식,2011.0
전기집진설비,여수,2,328,21200,8,99.96,옥외/수평/건식,2011.0
전기집진설비,영동,1,125,54500,45,99.92,"건식,저온,수평",1973.0
전기집진설비,영동,2,200,58200,45,99.92,"건식,저온,수평",1979.0
전기집진설비,영흥,1,800,16500,20,99.58,"저온,건식",2004.0
전기집진설비,영흥,2,800,16500,20,99.58,"저온,건식",2004.0
전기집진설비,영흥,3,870,17200,5,99.88,"저저온,건식",2008.0
전기집진설비,영흥,4,870,17200,5,99.88,"저저온,건식",2008.0
전기집진설비,영흥,5,870,,5,99.94,"저저온,건식",2014.0
전기집진설비,영흥,6,870,,5,99.94,"저저온,건식",2014.0
전기집진설비,삼천포,1,560,17400,100,98.57,"건식,저온,수평",1983.0
전기집진설비,삼천포,2,560,17400,100,98.57,"건식,저온,수평",1984.0
전기집진설비,삼천포,3,560,17400,100,99.43,"건식,저온,수평",1993.0
전기집진설비,삼천포,4,560,17400,100,99.43,"건식,저온,수평",1994.0
전기집진설비,삼천포,5,500,11000,40,99.64,"건식,저온,수평",1997.0
전기집진설비,삼천포,6,500,11000,40,99.64,"건식,저온,수평",1998.0
폐수처리설비,분당,일반,50,1500,1500,,,1993.0
폐수처리설비,삼천포,일반,2400,3150,3150,,,1993.0
폐수처리설비,삼천포,탈황,624,983,325,,,2004.0
폐수처리설비,삼천포,탈황,624,983,325,,,2005.0
폐수처리설비,삼천포,탈황,624,983,325,,,2006.0
폐수처리설비,삼천포,탈황,624,983,325,,,2007.0
폐수처리설비,영흥,일반,180,3792,2673,,,2003.0
폐수처리설비,영흥,일반,180,3792,2673,,,2007.0
폐수처리설비,영흥,탈황,50,378,1037,,,2004.0
폐수처리설비,영흥,일반,180,6100,3900,,,2013.0
폐수처리설비,영흥,탈황,57,388,1310,,,2014.0
폐수처리설비,영동,일반,30,1100,1100,,,1985.0
폐수처리설비,영동,탈황,20,568,405,,,1998.0
폐수처리설비,여수,일반,1500,500,3000,,,1986.0
폐수처리설비,여수,일반,90,1300,1500,,,2015.0
폐수처리설비,여수,탈황,10,500,1000,,,2011.0
