일자,유연탄(톤),부생연료유(L),우드펠릿(톤)
2017-01-01,7835.0,,
2017-01-02,8138.0,,
2017-01-03,8075.0,,
2017-01-04,8030.0,,
2017-01-05,8203.0,,
2017-01-06,7706.0,,
2017-01-07,8838.0,,
2017-01-08,8434.0,,
2017-01-09,8093.0,,
2017-01-10,8013.0,,
2017-01-11,8080.0,,
2017-01-12,8076.0,,
2017-01-13,8693.0,,
2017-01-14,8320.0,,
2017-01-15,7950.0,,
2017-01-16,8595.0,,
2017-01-17,8982.0,,
2017-01-18,8967.0,,
2017-01-19,8869.0,,
2017-01-20,8678.0,,
2017-01-21,8882.0,,
2017-01-22,8333.0,,
2017-01-23,8625.0,,
2017-01-24,9130.0,,
2017-01-25,8533.0,,
2017-01-26,8659.0,,
2017-01-27,7274.0,,
2017-01-28,6713.0,,
2017-01-29,6823.0,,
2017-01-30,7514.0,,
2017-01-31,8311.0,,
2017-02-01,8195.0,,
2017-02-02,8446.0,,
2017-02-03,8228.0,,
2017-02-04,7793.0,,
2017-02-05,7373.0,,
2017-02-06,8315.0,,
2017-02-07,7620.0,,
2017-02-08,7492.0,,
2017-02-09,7733.0,,
2017-02-10,7677.0,,
2017-02-11,7555.0,,
2017-02-12,6936.0,,
2017-02-13,8447.0,,
2017-02-14,8070.0,,
2017-02-15,8269.0,,
2017-02-16,8197.0,,
2017-02-17,7935.0,,
2017-02-18,7616.0,26250.0,
2017-02-19,4115.0,750.0,
2017-02-20,3891.0,,
2017-02-21,4198.0,,
2017-02-22,4160.0,,
2017-02-23,4175.0,,
2017-02-24,4230.0,,
2017-02-25,4116.0,,
2017-02-26,4219.0,,
2017-02-27,4015.0,,
2017-02-28,3990.0,,
2017-03-01,4050.0,,
2017-03-02,3973.0,,
2017-03-03,3988.0,,
2017-03-04,3992.0,,
2017-03-05,3941.0,,
2017-03-06,3899.0,,
2017-03-07,3849.0,,
2017-03-08,3729.0,,
2017-03-09,3938.0,,
2017-03-10,3920.0,,
2017-03-11,3887.0,,
2017-03-12,3916.0,,
2017-03-13,3946.0,,
2017-03-14,3421.0,23092.0,
2017-03-15,86.0,249638.0,
2017-03-16,,,
2017-03-17,,,
2017-03-18,146.0,221000.0,
2017-03-19,3969.0,,
2017-03-20,3956.0,,
2017-03-21,3867.0,,
2017-03-22,3957.0,,
2017-03-23,3945.0,,
2017-03-24,3901.0,,
2017-03-25,3993.0,,
2017-03-26,4054.0,,
2017-03-27,4146.0,,
2017-03-28,4185.0,,
2017-03-29,4252.0,13500.0,
2017-03-30,4246.0,53018.0,
2017-03-31,4157.0,224524.0,
2017-04-01,6775.0,204000.0,
2017-04-02,7211.0,,
2017-04-03,6307.0,58028.0,
2017-04-04,5872.0,254500.0,
2017-04-05,7562.0,,
2017-04-06,7800.0,,
2017-04-07,7734.0,,
2017-04-08,7842.0,,
2017-04-09,7317.0,,
2017-04-10,7554.0,,
2017-04-11,7663.0,,
2017-04-12,7801.0,,
2017-04-13,7761.0,,
2017-04-14,8256.0,,
2017-04-15,7512.0,,
2017-04-16,7527.0,,
2017-04-17,7889.0,,
2017-04-18,8013.0,,
2017-04-19,7810.0,,
2017-04-20,7777.0,,
2017-04-21,7735.0,,
2017-04-22,7947.0,,
2017-04-23,7617.0,,
2017-04-24,7599.0,,
2017-04-25,7903.0,,
2017-04-26,7668.0,,
2017-04-27,7672.0,,
2017-04-28,7923.0,,
2017-04-29,7869.0,,
2017-04-30,7853.0,,
2017-05-01,7376.0,,
2017-05-02,7752.0,,
2017-05-03,7993.0,,
2017-05-04,7986.0,,
2017-05-05,7615.0,,
2017-05-06,7181.0,,
2017-05-07,6593.0,,
2017-05-08,7685.0,,
2017-05-09,7871.0,,
2017-05-10,7916.0,,
2017-05-11,7781.0,,
2017-05-12,7903.0,,
2017-05-13,7156.0,3300.0,
2017-05-14,2742.0,515.0,
2017-05-15,3443.0,,
2017-05-16,3119.0,,
2017-05-17,2840.0,,
2017-05-18,3031.0,,
2017-05-19,3357.0,,
2017-05-20,2599.0,,
2017-05-21,2707.0,,
2017-05-22,3057.0,,
2017-05-23,3190.0,,
2017-05-24,3282.0,,
2017-05-25,2950.0,,
2017-05-26,3012.0,,
2017-05-27,2695.0,,
2017-05-28,2848.0,,
2017-05-29,3029.0,,
2017-05-30,3086.0,,
2017-05-31,3472.0,,
2017-06-01,3632.0,,
2017-06-02,3682.0,,
2017-06-03,3297.0,85036.0,
2017-06-04,4999.0,314914.0,
2017-06-05,7826.0,,
2017-06-06,7672.0,,
2017-06-07,7916.0,,
2017-06-08,7926.0,,
2017-06-09,8130.0,,
2017-06-10,7964.0,,
2017-06-11,7594.0,,
2017-06-12,7783.0,,
2017-06-13,8132.0,,
2017-06-14,8159.0,,
2017-06-15,8506.0,,
2017-06-16,8498.0,,
2017-06-17,8221.0,,
2017-06-18,7880.0,,
2017-06-19,8215.0,,
2017-06-20,8380.0,,
2017-06-21,8349.0,,
2017-06-22,8351.0,,
2017-06-23,8699.0,,
2017-06-24,8641.0,,
2017-06-25,8474.0,,
2017-06-26,8365.0,,
2017-06-27,8336.0,,
2017-06-28,8759.0,,
2017-06-29,8562.0,,
2017-06-30,8346.0,,
2017-07-01,8340.0,,
2017-07-02,8146.0,,
2017-07-03,7676.0,,
2017-07-04,7960.0,,
2017-07-05,8182.0,,
2017-07-06,7999.0,,
2017-07-07,7668.0,,
2017-07-08,7891.0,,
2017-07-09,7594.0,,
2017-07-10,7538.0,,
2017-07-11,7799.0,,
2017-07-12,7965.0,,
2017-07-13,8079.0,,
2017-07-14,7971.0,,
2017-07-15,7606.0,,
2017-07-16,7570.0,,
2017-07-17,7777.0,,
2017-07-18,7992.0,,
2017-07-19,8333.0,,
2017-07-20,8279.0,,
2017-07-21,8460.0,,
2017-07-22,8504.0,,
2017-07-23,7690.0,,
2017-07-24,8127.0,,
2017-07-25,8357.0,,
2017-07-26,8286.0,,
2017-07-27,8319.0,,
2017-07-28,8463.0,,
2017-07-29,8361.0,,
2017-07-30,7765.0,,
2017-07-31,8040.0,,
2017-08-01,7766.0,,
2017-08-02,8010.0,,
2017-08-03,7816.0,,
2017-08-04,7953.0,,
2017-08-05,8267.0,,
2017-08-06,8237.0,,
2017-08-07,8134.0,,
2017-08-08,7939.0,,296.0
2017-08-09,8041.0,,421.0
2017-08-10,7926.0,,435.0
2017-08-11,7955.0,,429.0
2017-08-12,8043.0,,423.0
2017-08-13,7554.0,,434.0
2017-08-14,7565.0,,435.0
2017-08-15,7766.0,,425.0
2017-08-16,7999.0,,444.0
2017-08-17,7850.0,,367.0
2017-08-18,7781.0,,433.0
2017-08-19,7942.0,,428.0
2017-08-20,7430.0,,391.0
2017-08-21,8094.0,,392.0
2017-08-22,8041.0,,280.0
2017-08-23,8163.0,,280.0
2017-08-24,8061.0,,200.0
2017-08-25,7969.0,,436.0
2017-08-26,7300.0,,326.0
2017-08-27,6952.0,,417.0
2017-08-28,7399.0,,420.0
2017-08-29,7586.0,,408.0
2017-08-30,7934.0,,379.0
2017-08-31,7149.0,4400.0,407.0
2017-09-01,2911.0,,440.0
