일자,구분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2024-01-01,육지계통,GS당진복합1CC,안양열병합2-1CC,당진#1,당진#1,당진#1,당진#1,당진#1,안양열병합2-1CC,안양열병합2-1CC,안양열병합2-1CC,안양열병합2-1CC,안양열병합2-1CC,여주복합CC,여주복합CC,여주복합CC,안양열병합2-1CC,파주문산복합2CC,파주문산복합2CC,파주문산복합2CC,GS당진복합1CC,GS당진복합1CC,안양열병합2-1CC,GS당진복합1CC,GS당진복합1CC
2024-01-02,육지계통,당진#1,당진#1,당진#1,당진#1,당진#1,당진#1,당진#1,세종천연가스CC,광교열병합CC,대전서남부열병합,일산복합1CC,포천복합 1CC,포스코복합7CC,포천복합 1CC,포천복합 1CC,포천복합 1CC,포스코복합7CC,포스코복합7CC,포스코복합7CC,포스코복합7CC,광양복합1CC,동탄열병합1CC,안양열병합2-2CC,신평택복합CC
2024-01-03,육지계통,여수#2,여수#2,여수#2,여수#2,여수#2,여수#2,여수#2,동탄열병합1CC,포스코복합8CC,대전서남부열병합,하남열병합1CC,양주열병합CC,포스코복합9CC,포스코복합9CC,포스코복합9CC,포스코복합9CC,광양복합2CC,춘천열병합CC,광양복합2CC,광양복합2CC,영남파워1CC,동탄열병합1CC,세종천연가스CC,동탄열병합1CC
2024-01-04,육지계통,세종천연가스CC,안양열병합2-1CC,하동#4,당진#1,당진#1,하동#5,파주문산복합2CC,세종천연가스CC,양주열병합CC,분당복합1CC,분당복합1CC,평택복합2CC,동탄열병합1CC,오성복합CC,오성복합CC,오성복합CC,동탄열병합1CC,동탄열병합1CC,동탄열병합1CC,동탄열병합1CC,동탄열병합1CC,신평택복합CC,신평택복합CC,신평택복합CC
2024-01-05,육지계통,파주문산복합2CC,여주복합CC,여주복합CC,여주복합CC,여주복합CC,여주복합CC,안양열병합2-1CC,동탄열병합1CC,울산복합CC#4,분당복합1CC,울산복합CC#4,포스코복합9CC,동탄열병합1CC,동탄열병합1CC,서인천복합1CC#6,분당복합2CC,서인천복합1CC#6,서인천복합1CC#6,서인천복합1CC#6,서인천복합1CC#6,서인천복합1CC#6,안양열병합2-2CC,파주문산복합2CC,안양열병합2-2CC
2024-01-06,육지계통,안양열병합2-1CC,안양열병합2-1CC,여주복합CC,여주복합CC,여주복합CC,안양열병합2-1CC,안양열병합2-1CC,파주문산복합2CC,파주문산복합2CC,신평택복합CC,동탄열병합2CC,동탄열병합1CC,신평택복합CC,신평택복합CC,동탄열병합2CC,동탄열병합2CC,신평택복합CC,신평택복합CC,안양열병합2-2CC,안양열병합2-2CC,안양열병합2-2CC,파주문산복합2CC,파주문산복합2CC,안양열병합2-1CC
2024-01-07,육지계통,안양열병합2-1CC,안양열병합2-1CC,하동#7,하동#7,하동#7,하동#7,안양열병합2-1CC,안양열병합2-1CC,안양열병합2-1CC,여주복합CC,안양열병합2-1CC,여주복합CC,안양열병합2-1CC,안양열병합2-1CC,여주복합CC,안양열병합2-1CC,안양열병합2-1CC,파주문산복합2CC,파주문산복합2CC,파주문산복합2CC,파주문산복합2CC,하동#5,하동#5,하동#5
2024-01-08,육지계통,하동#4,하동#5,하동#5,하동#5,하동#5,하동#5,하동#5,동탄열병합2CC,광양복합2CC,분당복합1CC,분당복합1CC,포천복합 1CC,평택복합2CC,동두천복합1CC,포천복합 1CC,무림파워텍열병합(중앙),동두천복합1CC,동두천복합1CC,평택복합2CC,포스코복합9CC,광양복합1CC,광양복합1CC,광양복합2CC,동탄열병합1CC
2024-01-09,육지계통,동탄열병합2CC,파주문산복합2CC,파주문산복합2CC,파주문산복합2CC,파주문산복합2CC,파주문산복합2CC,세종천연가스CC,동탄열병합1CC,동두천복합1CC,대전서남부열병합,양주열병합CC,양주열병합CC,안동복합CC,동두천복합1CC,양주열병합CC,아산배방열병합CC,동두천복합1CC,동두천복합1CC,평택복합2CC,인천복합3CC,포스코복합9CC,영남파워1CC,동탄열병합1CC,광양복합1CC
2024-01-10,육지계통,세종천연가스CC,여수#2,여수#2,여수#2,여수#2,여수#2,서울복합#1CC,동탄열병합1CC,포스코복합8CC,대전서남부열병합,인천복합2CC,분당복합2CC,포스코복합9CC,평택복합2CC,평택복합2CC,평택복합2CC,포스코복합9CC,오성복합CC,포스코복합9CC,포스코복합9CC,포스코복합9CC,동탄열병합1CC,동탄열병합1CC,동탄열병합1CC
