일자,lng_consumed,gen_kwh,ratio,efficiency_if_kg,efficiency_if_ton
202201,81891,469378960.0,825.3723881745246,412.6861940872623,0.4126861940872623
202202,72034,412193017.0,823.9969243412833,411.99846217064163,0.4119984621706417
202203,50285,287166011.0,822.350712618077,411.1753563090385,0.4111753563090385
202204,18438,105399993.0,823.1694864952815,411.58474324764074,0.41158474324764077
202205,19305,109175986.0,814.3663291375292,407.1831645687646,0.4071831645687646
202206,30012,181527019.0,870.9812986805277,435.4906493402639,0.4354906493402639
202207,24678,149068002.0,869.8351684901531,434.91758424507657,0.4349175842450766
202208,10487,62148993.0,853.3856195289405,426.6928097644703,0.4266928097644703
202209,11178,65719997.0,846.634421900161,423.31721095008055,0.42331721095008057
202210,24933,141997980.0,820.1062495487907,410.05312477439537,0.41005312477439537
202211,32733,185334972.0,815.3311938410778,407.6655969205389,0.40766559692053894
202212,90502,516173968.0,821.2973347771319,410.64866738856597,0.410648667388566
202301,86890,495873990.0,821.7960013810565,410.89800069052825,0.41089800069052823
202302,65957,376633945.0,822.2825186106099,411.14125930530497,0.411141259305305
202303,40686,232904996.0,824.320882465713,412.1604412328565,0.4121604412328565
202304,15430,86971001.0,811.654189500972,405.8270947504861,0.4058270947504861
202305,7658,41248030.0,775.622397492818,387.811198746409,0.38781119874640896
202306,17171,100891002.0,846.095410168307,423.0477050841535,0.4230477050841535
202307,8103,47636996.0,846.5663857830433,423.28319289152165,0.42328319289152166
202308,12351,73287001.0,854.4513111488948,427.2256555744474,0.4272256555744474
202309,28598,173243007.0,872.333485138821,436.1667425694105,0.43616674256941046
202310,11084,61228994.0,795.468705882353,397.7343529411765,0.3977343529411765
202311,40470,230463020.0,820.0315018532245,410.0157509266123,0.4100157509266123
202312,70418,402495985.0,823.07679627368,411.53839813684,0.41153839813684
202401,82230,472018996.0,826.5929152863918,413.29645764319594,0.41329645764319595
202402,55290,313452994.0,816.3724206185566,408.1862103092784,0.4081862103092784
202403,50763,289710018.0,821.8238203415873,410.9119101707937,0.4109119101707937
202404,12954,63917000.0,710.5178323297822,355.25891616489116,0.35525891616489114
202405,13356,76968002.0,829.8436873315364,414.92184366576817,0.4149218436657682
202406,12321,72829014.0,851.1791263696128,425.5895631848064,0.42558956318480645
202407,8864,55902990.0,908.1713176895307,454.08565884476536,0.4540856588447653
202408,22032,131061018.0,856.6079607843137,428.30398039215686,0.4283039803921569
202409,18087,110284002.0,878.0282129706419,439.01410648532095,0.4390141064853209
202410,12331,72245998.0,843.6804567350579,421.840228367529,0.421840228367529
202411,30050,172976005.0,828.903318469218,414.451659234609,0.41445165923460897
202412,70370,434568025.0,889.2680915162712,444.6340457581356,0.4446340457581356
202501,39582,465369987.0,1693.0240545702593,846.5120272851296,0.8465120272851296
202502,75646,451748020.0,859.9491695529174,429.97458477645876,0.4299745847764588
202503,39621,226299993.0,822.4729055803739,411.23645279018706,0.41123645279018706
202504,35825,205596800.0,826.4044438241451,413.20222191207256,0.41320222191207256
202505,30384,174735583.0,828.1307251184834,414.06536255924175,0.41406536255924176
202506,12902,72134416.0,805.0965667338397,402.54828336691986,0.40254828336691983
202507,16571,99043994.0,860.680413734838,430.34020686741906,0.43034020686741903
202508,11898,70320999.0,851.0862208774583,425.54311043872923,0.4255431104387292
202509,13214,80291009.0,874.9739137278643,437.4869568639322,0.43748695686393224
202510,13651,78772003.0,830.9404755695554,415.4702377847777,0.4154702377847777
202511,28668,166515006.0,836.4085692758476,418.2042846379238,0.4182042846379238
202512,62036,356553001.0,827.6425324650203,413.8212662325102,0.4138212662325102
