site,unit,date,total_kwh,avg_kw,max_hour_kw,min_hour_kw
경상대태양광,1,2022-01-01,3378.96,141,563.76,1.44
경상대태양광,1,2022-01-02,3142.08,131,529.92,0.72
경상대태양광,1,2022-01-03,3211.92,134,547.92,1.44
경상대태양광,1,2022-01-04,2894.4,121,506.16,0.72
경상대태양광,1,2022-01-05,902.88,38,223.92,5.04
경상대태양광,1,2022-01-06,3413.52,142,573.84,3.6
경상대태양광,1,2022-01-07,3304.08,138,550.8,1.44
경상대태양광,1,2022-01-08,3306.24,138,558.0,1.44
경상대태양광,1,2022-01-09,2404.08,100,408.96,0.72
경상대태양광,1,2022-01-10,2791.44,116,492.48,1.44
경상대태양광,1,2022-01-11,3509.28,146,601.2,7.2
경상대태양광,1,2022-01-12,3543.12,148,579.6,1.44
경상대태양광,1,2022-01-13,3417.84,142,577.44,0.72
경상대태양광,1,2022-01-14,3562.56,148,588.24,1.44
경상대태양광,1,2022-01-15,2689.2,112,542.88,9.36
경상대태양광,1,2022-01-16,3157.92,132,527.04,0.72
경상대태양광,1,2022-01-17,3168.0,132,553.68,0.72
경상대태양광,1,2022-01-18,3650.4,152,591.84,1.44
경상대태양광,1,2022-01-19,3281.76,137,539.28,2.16
경상대태양광,1,2022-01-20,3571.2,149,580.32,2.16
경상대태양광,1,2022-01-21,3313.44,138,576.72,1.44
경상대태양광,1,2022-01-22,2093.76,87,484.56,2.16
경상대태양광,1,2022-01-23,1702.8,71,334.08,0.72
경상대태양광,1,2022-01-24,1377.36,57,236.16,18.72
경상대태양광,1,2022-01-25,1176.48,49,239.04,0.72
경상대태양광,1,2022-01-26,3254.4,136,541.44,2.16
경상대태양광,1,2022-01-27,3180.24,133,552.24,1.44
경상대태양광,1,2022-01-28,3642.48,152,594.0,0.72
경상대태양광,1,2022-01-29,3139.92,131,507.6,0.72
경상대태양광,1,2022-01-30,3122.64,130,553.68,3.6
경상대태양광,1,2022-01-31,3803.76,158,591.12,5.04
경상대태양광,1,2022-02-01,3540.24,148,581.76,3.6
경상대태양광,1,2022-02-02,2658.96,111,478.8,0.72
경상대태양광,1,2022-02-03,3953.52,165,617.76,6.48
경상대태양광,1,2022-02-04,3762.0,157,592.56,5.04
경상대태양광,1,2022-02-05,4076.64,170,643.68,6.48
경상대태양광,1,2022-02-06,3624.48,151,599.04,7.2
경상대태양광,1,2022-02-07,1850.4,77,366.48,2.16
경상대태양광,1,2022-02-08,3736.8,156,591.84,8.64
경상대태양광,1,2022-02-09,2880.72,120,524.88,8.64
경상대태양광,1,2022-02-10,3487.68,145,595.44,4.32
경상대태양광,1,2022-02-11,3864.24,161,605.52,9.36
경상대태양광,1,2022-02-12,3754.08,156,586.08,7.2
경상대태양광,1,2022-02-13,2864.88,119,519.12,6.48
경상대태양광,1,2022-02-14,2326.32,97,534.24,0.72
경상대태양광,1,2022-02-15,3993.12,166,615.6,12.24
경상대태양광,1,2022-02-16,4217.76,176,661.68,14.4
경상대태양광,1,2022-02-17,4088.16,170,621.36,15.12
경상대태양광,1,2022-02-18,4048.56,169,630.0,17.28
경상대태양광,1,2022-02-19,2218.32,92,432.0,5.04
경상대태양광,1,2022-02-20,4622.4,193,686.16,0.72
경상대태양광,1,2022-02-21,4125.6,172,636.48,0.72
경상대태양광,1,2022-02-22,4173.12,174,658.08,0.72
경상대태양광,1,2022-02-23,3789.36,158,605.52,0.72
경상대태양광,1,2022-02-24,4453.92,186,652.32,1.44
경상대태양광,1,2022-02-25,4304.16,179,637.92,1.44
경상대태양광,1,2022-02-26,3920.4,163,622.8,1.44
