호기,pmax_p95,pmax_observed,pmin_p05,ramp_max_mw_per_h,ramp_p95_mw_per_h,min_up_hrs_p25,min_up_hrs_median,min_down_hrs_p25,min_down_hrs_median,n_cold_starts (24h+ off),n_warm_starts (2-24h off),n_run_segments,avg_output_mw,cf_overall,running_hours,total_hours,running_pct
CG1,86.99,120.23,44.57,70.6,15.11,6.0,8.0,11.0,18.0,164,227,408,29.68,0.341,13848,35064,39.5
CG2,89.31,115.63,33.76,73.65,30.95,5.0,7.0,12.0,21.0,194,212,417,16.97,0.19,8119,35064,23.2
CG3,89.36,127.99,42.79,76.66,16.92,6.0,8.0,11.0,18.0,160,216,395,28.98,0.324,13205,35064,37.7
CG4,88.95,110.26,31.47,73.1,31.92,4.0,6.0,15.0,24.5,178,163,354,14.86,0.167,7013,35064,20.0
CG5,89.04,117.24,46.83,85.78,18.17,4.0,7.0,15.0,22.0,158,151,324,21.91,0.246,9955,35064,28.4
CG6,86.98,129.48,50.14,79.26,15.81,8.0,13.0,9.0,14.0,156,330,521,35.93,0.413,16729,35050,47.7
CG7,89.93,129.32,46.11,79.15,27.27,6.0,11.0,10.0,17.0,200,289,515,27.29,0.303,12618,35051,36.0
CG8,90.19,127.81,48.18,85.37,20.08,7.0,12.0,10.0,15.0,176,299,511,34.41,0.381,15587,35050,44.5
CS1,141.93,187.54,43.03,132.03,40.71,5.0,8.0,11.0,18.0,149,215,385,35.2,0.248,14785,35061,42.2
CS2,106.38,198.2,43.06,179.15,21.01,8.0,13.0,10.0,14.0,156,350,545,31.68,0.298,18287,35051,52.2
분당_PLANT_TOTAL,773.98,1020.92,172.94,663.51,149.65,9.0,14.0,9.0,13.0,127,362,530,276.84,0.358,23102,35064,65.9
