호기,pmax_p95,pmax_obs,pmin_p05_run,avg_run,median_run,running_pct,mode,headroom_avg,downroom_avg,ramp_up_p95,ramp_up_p99,ramp_dn_p95,ramp_dn_p99,starts,cold_starts,warm_starts,avg_run_hrs,avg_off_hrs,backup_score
CG1,85.47,120.23,46.29,75.42,80.94,39.35,mid-merit,10.05,29.13,14.15,34.75,13.29,45.42,407.0,165.0,226.0,33.8,52.1,0.431
CG2,84.53,115.63,37.27,73.74,79.3,23.0,peaker,10.79,36.47,25.44,50.59,29.21,51.81,416.0,194.0,212.0,19.3,64.7,0.589
CG3,88.02,127.99,44.23,77.19,83.33,37.54,mid-merit,10.83,32.96,16.12,39.49,15.54,47.94,392.0,162.0,214.0,33.5,55.7,0.485
CG4,84.98,110.26,36.62,74.99,81.19,19.8,peaker,9.99,38.37,25.04,51.8,27.56,52.36,352.0,177.0,164.0,19.7,79.7,0.607
CG5,86.75,117.24,51.98,77.6,82.74,28.22,mid-merit,9.15,25.62,14.73,50.04,15.4,47.43,323.0,158.0,151.0,30.5,77.7,0.431
CG6,84.92,400.88,51.52,75.61,77.87,47.62,baseload,9.31,24.09,18.3,39.08,12.77,48.15,520.0,156.0,330.0,32.1,35.3,0.37
CG7,87.13,417.66,48.84,76.46,80.03,35.79,mid-merit,10.67,27.62,24.48,50.19,24.95,56.02,514.0,200.0,288.0,24.4,43.8,0.477
CG8,88.42,417.64,49.25,77.74,81.4,44.36,baseload,10.68,28.49,19.23,41.11,17.52,53.58,511.0,176.0,301.0,30.4,38.2,0.437
CS1,123.61,244.91,43.38,84.06,74.73,41.89,mid-merit,39.55,40.68,42.0,66.61,25.24,101.65,383.0,151.0,213.0,38.2,53.1,0.894
CS2,78.12,351.86,43.77,61.19,51.37,51.92,baseload,16.93,17.42,27.44,65.29,16.02,66.68,544.0,157.0,348.0,33.5,31.0,0.418
