발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광#5, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광#5, 2, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
광양항세방태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
두산엔진MG태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0, 0, 0.18, 0, 0.06, 0.06, 0.06, 0, 
삼천포태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광, 2, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광, 3, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광, 4, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
구미태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광#6, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
영흥태양광#5, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 132.579, 559.242, 1176.337, 1962.168, 2106.8, 2707.021, 2502.126, 2205.632, 2133.316, 1658.442, 949.747, 491.747, 89.189, 0, 0, 0, 0, 0, 18674.346, 778, 2707.02, 89.189, 2707.021, 0, 
영흥태양광 #3, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 99.84, 477.84, 1032, 1709.28, 134.16, 69.36, 78.48, 1206.72, 1890.24, 1540.08, 883.68, 458.64, 82.56, 0, 0, 0, 2068.8, 2220, 13951.68, 581, 2220, 69.36, 2220, 0, 
영흥태양광 #3, 2, 2023-04-30 00:00:00, 50.88, 0, 0, 0, 0, 0, 26.688, 158.496, 373.92, 634.176, 63.648, 32.256, 45.888, 723.072, 698.592, 568.992, 323.712, 184.608, 24.096, 0, 0, 0, 658.56, 742.08, 5309.664, 221, 742.08, 24.096, 742.08, 0, 
영흥태양광 #3, 3, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 23.52, 138.48, 324.72, 531, 79.68, 39.36, 40.68, 57.96, 597.24, 468, 283.2, 150.24, 20.04, 0, 0, 0, 664.8, 739.2, 4158.12, 173, 739.2, 20.04, 739.2, 0, 
영흥태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 15.782, 103.258, 263.846, 442.291, 532.262, 685.594, 618.202, 546.086, 585.6, 449.395, 265.574, 147.725, 23.962, 0, 0, 0, 0, 0, 4679.577, 195, 685.59, 15.782, 685.594, 0, 
예천태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 5.58, 20.52, 32.58, 41.94, 48.24, 49.5, 47.16, 41.76, 34.56, 23.4, 8.82, 0.18, 0, 0, 0, 0, 0, 354.24, 15, 49.5, 0.18, 49.5, 0, 
여수태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 450, 19, 450, 450, 450, 0, 
영흥태양광, 2, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 30.855, 134.989, 297.941, 508.139, 545.743, 698.088, 657.592, 568.884, 548.636, 449.322, 258.408, 146.56, 26.998, 0, 0, 0, 0, 0, 4872.155, 203, 698.08, 26.99, 698.088, 0, 
탑선태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1249.9, 1249.9, 52, 1249.9, 1249.9, 1249.9, 0, 
탑선태양광, 3, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 724.6, 724.6, 30, 724.6, 724.6, 724.6, 0, 
경상대태양광, 1, 2023-04-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
영동태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광#5, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광#5, 2, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
광양항세방태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
두산엔진MG태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0, 0.18, 0, 0.06, 0.06, 0.06, 0, 
삼천포태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광, 2, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광, 3, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광, 4, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
구미태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
삼천포태양광#6, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
영흥태양광#5, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 7.232, 65.084, 28.926, 69.905, 127.758, 113.295, 1812.716, 1318.558, 1636.747, 624.326, 323.011, 84.368, 0, 0, 0, 0, 0, 6211.926, 259, 1812.71, 7.232, 1812.716, 0, 
영흥태양광 #3, 1, 2023-04-29 00:00:00, 1881.6, 0, 0, 0, 0, 0, 0, 0, 54, 21.6, 58.08, 87.84, 68.64, 26.16, 81.36, 109.2, 613.2, 304.56, 88.8, 0, 0, 0, 2066.4, 2030.4, 7491.84, 312, 2066.4, 21.6, 2066.4, 0, 
영흥태양광 #3, 2, 2023-04-29 00:00:00, 672.96, 0, 0, 0, 0, 0, 0, 0, 8.352, 0, 16.8, 32.448, 25.536, 0.48, 51.84, 53.664, 204, 104.256, 28.32, 0, 0, 0, 658.56, 742.08, 2599.296, 108, 742.08, 0.48, 742.08, 0, 
영흥태양광 #3, 3, 2023-04-29 00:00:00, 676.8, 0, 0, 0, 0, 0, 0, 0, 11.88, 0, 14.52, 30.6, 22.32, 38.76, 42.6, 44.64, 182.52, 89.28, 25.44, 0, 0, 0, 663.6, 675.6, 2518.56, 105, 676.8, 11.88, 676.8, 0, 
영흥태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 7.373, 1.152, 7.526, 36.403, 13.786, 331.968, 447.398, 479.27, 229.632, 67.085, 28.378, 0, 0, 0, 0, 0, 1649.971, 69, 479.27, 1.152, 479.27, 0, 
예천태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.18, 0.18, 0, 0.54, 0.9, 0.72, 1.98, 0.72, 0, 0, 0, 0, 0, 0, 5.22, 0, 1.98, 0.18, 1.98, 0, 
여수태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 450, 19, 450, 450, 450, 0, 
영흥태양광, 2, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 18.32, 7.714, 19.284, 48.211, 27.962, 444.501, 373.149, 489.819, 200.556, 92.564, 28.926, 0, 0, 0, 0, 0, 1751.006, 73, 489.81, 7.714, 489.819, 0, 
탑선태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1249.92, 1249.92, 52, 1249.92, 1249.92, 1249.92, 0, 
탑선태양광, 3, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 724.56, 724.56, 30, 724.56, 724.56, 724.56, 0, 
경상대태양광, 1, 2023-04-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
영동태양광, 1, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 4.704, 49.728, 182.784, 393.312, 413.472, 37.536, 38.976, 78.336, 0, 0, 0, 370.368, 686.688, 686.208, 135.936, 0, 0, 0, 3078.048, 128, 686.68, 4.704, 686.688, 0, 
삼천포태양광#5, 1, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 141.016, 694.232, 1384.847, 2545.516, 525.569, 725.899, 753.224, 1601.795, 969.032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9341.13, 389, 2545.51, 141.01, 2545.516, 0, 
삼천포태양광#5, 2, 2023-04-28 00:00:00, 0, 0, 0, 0, 0, 0, 226.589, 1214.905, 2106.8, 4358.232, 1238.447, 1706.876, 1772.845, 2984.232, 1687.368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17296.294, 721, 4358.23, 226.589, 4358.232, 0, 
