site_name,capacity_kw,address,region,lat,lon
영흥태양광,1000,인천광역시 옹진군 영흥면 영흥남로 293번길 75,인천/영흥,,
영흥태양광 #3,6153,인천광역시 옹진군 영흥면 영흥남로 293번길 75,인천/영흥,,
영흥태양광#5,3500,인천광역시 옹진군 영흥면 영흥남로 293번길 75,인천/영흥,,
삼천포태양광,3290,경남 고성군 하이면 하이로1,경남/고성,,
삼천포태양광#5,10587,경남 고성군 하이면 하이로1,경남/고성,,
삼천포태양광#6,976,경남 고성군 하이면 하이로1,경남/고성,,
여수태양광,167,전남 여수시 여수산단로 727,전남/여수,,
영동태양광,1065,강원 영월군 남면 영월로 1535,강원/영동,,
예천태양광,2000,경북 예천군 용문면 선리 산 42-6,경북/예천,,
구미태양광,992,경북 구미시 첨단기업로8,경북/구미,,
탑선태양광,1010,전남 장성군 동화면 전자농공단지길 32,전남/장성,,
경상대태양광,905,경남 진주시 진주대로 501,경남/진주,,
고흥만 수상태양광,63481,전남 고흥군 포두면 남촌리 996,전남/고흥,,
광양항세방태양광,2993,전남 광양시 도이동 775,전남/광양,,
두산엔진MG태양광,77,경남 창원시 성산구 공단로 21번길 18,경남/창원,,
