발전소명,설비용량,소재지주소,에너지저장시스템(ESS)용량,전력변환장치(PCS)용량
영흥 태양광 1단지,1000,인천광역시 옹진군 영흥면 영흥남로 293번길 75,,
영흥 태양광 2단지,993,인천광역시 옹진군 영흥면 영흥남로 293번길 75,1000,1000
영흥 태양광 3-1단지,3332,인천광역시 옹진군 영흥면 영흥남로 293번길 75,,3000
영흥 태양광 3-2단지,1283,인천광역시 옹진군 영흥면 영흥남로 293번길 75,1000,1000
영흥 태양광 3-3단지,1538,인천광역시 옹진군 영흥면 영흥남로 293번길 75,2000,2000
영흥 태양광 5단지,3500,인천광역시 옹진군 영흥면 영흥남로 293번길 75,,
삼천포 태양광 1단지,100,경남 고성군 하이면 하이로 1,,
삼천포 태양광 2단지,990,경남 고성군 하이면 하이로 1,,
삼천포 태양광 3단지,350,경남 고성군 하이면 하이로 1,,
삼천포 태양광 4단지,1850,경남 고성군 하이면 하이로 1,1500,1500
삼천포 태양광 5-1단지,3940,경남 고성군 하이면 하이로 1,4000,4000
삼천포 태양광 5-2단지,6647,경남 고성군 하이면 하이로 1,6000,6000
삼천포 태양광 6단지,976,경남 고성군 하이면 하이로 1,1000,1000
영동 태양광,1065,강원도 강릉시 강동면 염전길 99,1000,1000
여수 1태양광,55,전남 여수시 여수산단로 727,,
여수 2태양광,63,전남 여수시 여수산단로 727,,
여수 사옥 옥상 태양광,49,전남 여수시 여수산단로 727,,
예천 태양광,2000,경북 예천군 용문면 선리 산42-6,,
구미 정수장 태양광,992,경북 금전동 국가산업4단지 26BL,,
경상대 태양광,905,경남 진주시 진주대로 501,,
창원 두산엔진 MG 태양광,77,경남 창원시 성산구 공단로21번길 18,100,100
광양항 세방 태양광,3097,광양시 컨부두로 460,,
탑선 태양광,1010,전남 장성군 동화면 전자농공단지길 32,,
