unit,type,ramp_up_p90,ramp_up_p95,ramp_up_p99,ramp_dn_p90,ramp_dn_p95,ramp_dn_p99,ratio_p90,ratio_p99
CG1,GT,13.170200000000001,26.94039999999997,49.559320000000014,2.990400000000003,13.292799999999994,45.41756,4.404159978598177,1.0911929218566565
CG2,GT,28.922000000000036,44.62939999999997,63.742439999999895,11.175999999999995,29.20525,51.814800000000005,2.5878668575519015,1.2301975497348228
CG3,GT,14.655999999999999,29.47579999999993,48.102830000000026,3.703000000000003,15.544749999999997,47.941300000000055,3.9578719956791755,1.0033693287416063
CG4,GT,27.51000000000001,46.05219999999999,62.474239999999995,6.762999999999998,27.561,52.364000000000004,4.06772142540293,1.1930761591933388
CG5,GT,12.396800000000043,36.31399999999993,58.61460000000007,2.536999999999999,15.397000000000006,47.42909999999997,4.886401261332301,1.2358362271263865
CG6,GT,18.207,35.805,53.059799999999996,1.8690000000000035,12.766399999999955,48.14675999999999,9.741573033707848,1.1020430035167477
CG7,GT,25.708,44.685249999999996,61.64995,3.1862000000000013,24.953849999999967,56.02373000000003,8.068545602912558,1.1004256589127495
CG8,GT,19.029999999999994,37.76025,54.68175,2.387999999999991,17.52,53.580999999999996,7.96901172529316,1.0205436628655682
CS1,ST,29.28,46.466499999999996,70.09889999999983,7.416800000000013,25.237499999999944,101.65153999999998,3.94779419695825,0.6895999804823404
CS2,ST,18.51760000000001,39.74259999999991,70.39919999999996,2.737900000000009,16.02019999999998,66.68087000000025,6.763431827312885,1.0557630696780005
