unit,mode,running_pct,mean_run_h,median_run_h,max_run_h,n_runs
CS2,baseload,51.91649555099247,33.463235294117645,13.0,1399,544
CG6,baseload,47.61864020077572,32.10961538461538,13.0,1455,520
CG8,mid-merit,44.356034679443304,30.436399217221133,12.0,919,511
CS1,mid-merit,41.889117043121146,38.25,7.0,2444,384
CG1,mid-merit,39.3451973534109,33.81372549019608,8.0,2200,408
CG3,mid-merit,37.539926990645675,33.49363867684478,8.0,1857,393
CG7,mid-merit,35.794547113848964,24.41828793774319,11.0,706,514
CG5,mid-merit,28.222678530686746,30.54320987654321,6.0,1914,324
CG2,peaker,23.000798539812912,19.34052757793765,7.0,539,417
CG4,peaker,19.80378736025553,19.671388101983002,6.0,991,353
