plant_unit,peak_hour,pm_am_ratio,classification
경상대태양광_1,12,1.3780313153280843,Pure PV
고흥만 수상태양광_1,12,1.3023361652213663,Pure PV
광양항세방태양광_1,12,1.4702224265489996,Pure PV
구미태양광_1,12,1.3975683824093275,Pure PV
두산엔진MG태양광_1,14,2.192881621982454,Pure PV
삼천포태양광#5_1,18,4.126794715415397,ESS 왜곡
삼천포태양광#5_2,18,4.609827543190438,ESS 왜곡
삼천포태양광#6_1,16,5.212314562340704,ESS 의심
삼천포태양광_1,12,1.4407128276867922,Pure PV
삼천포태양광_2,12,1.2921282692901097,Pure PV
삼천포태양광_3,12,1.3052362579755536,Pure PV
삼천포태양광_4,16,6.692324193871693,ESS 의심
여수태양광_1,23,0.0,ESS 왜곡
영동태양광_1,17,8.619408827379269,ESS 왜곡
영흥태양광 #3_1,16,3.841669319301963,ESS 의심
영흥태양광 #3_2,16,4.374610008849298,ESS 의심
영흥태양광 #3_3,16,4.542455234528032,ESS 의심
영흥태양광#5_1,12,1.4472543153859883,Pure PV
영흥태양광_1,12,1.5997113480422298,Pure PV
영흥태양광_2,12,1.553542839303292,Pure PV
예천태양광_1,12,1.3408979889796757,Pure PV
탑선태양광_1,23,0.0,ESS 왜곡
탑선태양광_3,23,0.0,ESS 왜곡
