hour,n,MAE_cf,bias_cf,NMAE_%,MAE_MWh,cov80,cov95
7,1062,0.014444321,-0.004169052,1.6424398439416295,0.15140395573281756,82.20338983050848,96.98681732580037
8,1958,0.026588947,-0.0023008173,2.5450272071490088,0.2444128056748156,78.39632277834525,92.59448416751788
9,2893,0.040037047,0.0009692878,3.3132006752549694,0.3213478717592489,79.1220186657449,92.11890770826132
10,2904,0.059198786,0.0068767387,4.607232373573003,0.4450644063276191,82.30027548209367,93.00964187327824
11,2904,0.074816935,0.011704849,5.947265815730252,0.574513311881812,83.91873278236915,94.14600550964187
12,2912,0.08481085,0.0062159784,7.1431725342465615,0.6900393957738856,83.85989010989012,93.99038461538461
13,2920,0.09365572,0.006547681,8.852649831809465,0.8551770395650841,83.9041095890411,93.28767123287672
14,2920,0.08693397,-0.0006808183,7.860102915453725,0.7592957667614741,84.48630136986301,93.15068493150685
15,2920,0.077601224,-0.0052976278,6.048735263090275,0.5843153873335994,84.86301369863014,93.52739726027397
16,2920,0.06460918,-0.0046471497,4.799063274613142,0.46359551115672276,84.72602739726027,93.73287671232877
17,2913,0.046020426,-0.0003887809,3.6352143887282264,0.3518378997611475,80.05492619292825,91.86405767250257
18,2019,0.032818437,-0.0002650858,2.616988648893642,0.2583702212390894,80.23774145616642,90.7379891035166
19,1198,0.023281911,-0.014348636,1.7084141515051756,0.17051295185209,84.5575959933222,96.4941569282137
