site,regime,n,cov80,cov95,nmae
경상대,clear,1049,94.56625357483317,97.23546234509057,4.350691283737851
경상대,cloudy,1760,87.55681818181819,96.81818181818181,3.464140620592595
경상대,transition,1251,87.60991207034373,96.72262190247801,3.7815886366513847
고흥만수상,clear,1013,90.12833168805528,95.75518262586377,4.686490299965293
고흥만수상,cloudy,1797,86.19922092376183,95.26989426822482,4.888750811185974
고흥만수상,transition,1254,84.44976076555024,95.13556618819776,5.1067282284566895
광양항세방,clear,908,70.70484581497797,78.8546255506608,10.941725271848329
광양항세방,cloudy,1968,65.85365853658537,85.26422764227642,6.078444788067642
광양항세방,transition,1188,62.45791245791246,73.56902356902357,9.239210054491606
구미,clear,902,92.6829268292683,97.45011086474501,4.4509266802582665
구미,cloudy,1883,84.33351035581519,94.53000531067445,4.831312191540628
구미,transition,1270,76.37795275590551,91.33858267716536,5.859366068616509
삼천포,clear,1066,87.14821763602252,92.77673545966229,7.15186077940643
삼천포,cloudy,1749,84.16237850200115,95.19725557461408,4.570504567696992
삼천포,transition,1248,82.7724358974359,95.3525641025641,5.091057471014583
영흥,clear,824,93.56796116504854,98.05825242718447,5.226025529639814
영흥,cloudy,2202,84.74114441416893,94.55040871934605,4.009941574995364
영흥,transition,996,85.4417670682731,93.97590361445783,5.966799445712124
예천,clear,785,84.8407643312102,94.26751592356688,10.736345640223496
예천,cloudy,1886,79.26829268292683,94.11452810180275,6.481774188934905
예천,transition,1382,65.62952243125905,86.75832127351664,10.855589209558435
창원,clear,1099,86.80618744313013,99.45404913557779,13.796935399979002
창원,cloudy,1799,86.99277376320178,96.83157309616453,5.648096894689801
창원,transition,1164,91.66666666666666,98.02405498281786,7.072380405796301
