bin,n,residual_mean,residual_std,abs_error_mean
"(-0.001, 1.0]",10656,-0.0001568823,0.10099293,0.060751293
"(1.0, 2.0]",1699,0.0005963974,0.102502994,0.07055274
"(2.0, 3.0]",1490,-0.005591929,0.11644318,0.07878316
"(3.0, 4.0]",1519,-0.0072254622,0.122843735,0.08623807
"(4.0, 5.0]",1497,0.0013756548,0.11418451,0.07926006
"(5.0, 6.0]",1830,0.0036678645,0.110591695,0.07601707
"(6.0, 7.0]",2397,-0.00033290038,0.105779454,0.07322692
"(7.0, 8.0]",2829,0.005935982,0.0996813,0.068518914
"(8.0, 9.0]",3267,0.006171945,0.07466754,0.05142705
"(9.0, 10.0]",5257,0.002028951,0.051496614,0.034039367
