bin,n,residual_mean,residual_std,abs_error_mean
"(-0.001, 100.0]",743,-0.0006301596,0.026206762,0.01685178
"(100.0, 200.0]",5094,-0.0016501505,0.03535125,0.024706338
"(200.0, 300.0]",6272,0.0030005751,0.0588775,0.04094187
"(300.0, 400.0]",4479,0.002692423,0.08281776,0.05906373
"(400.0, 500.0]",4387,0.0053838785,0.10202409,0.07163302
"(500.0, 600.0]",3830,0.0026761652,0.1084379,0.07478053
"(600.0, 700.0]",2639,0.004018874,0.12509844,0.08766031
"(700.0, 800.0]",2242,-0.005108015,0.14271514,0.098427355
"(800.0, 900.0]",1856,-0.010706278,0.15218017,0.1038358
"(900.0, 1000.0]",890,-0.0008497159,0.1442902,0.09452462
"(1000.0, 1100.0]",11,0.06985079,0.055982623,0.085167445
