bin,n,residual_mean,residual_std,abs_error_mean
"(19.999, 25.0]",1030,-0.014332119,0.15708283,0.10141668
"(25.0, 30.0]",1582,-0.0031413753,0.13256681,0.08876512
"(30.0, 35.0]",1648,0.0019832584,0.13785471,0.094978966
"(35.0, 40.0]",1353,0.0034956513,0.14077044,0.097444125
"(40.0, 45.0]",2673,0.0046586553,0.10719704,0.07390619
"(45.0, 50.0]",1977,0.0021397136,0.11171189,0.077113464
"(50.0, 55.0]",3071,0.0020403771,0.09201841,0.06338207
"(55.0, 60.0]",3517,0.0029692547,0.09820369,0.06585085
"(60.0, 65.0]",3075,0.0007167159,0.08419326,0.05795714
"(65.0, 70.0]",3064,9.2638205e-05,0.06554572,0.04490185
"(70.0, 75.0]",2508,0.006329524,0.060047485,0.04186908
"(75.0, 80.0]",2835,-0.0029112403,0.036886256,0.025547504
"(80.0, 85.0]",2287,-0.0034069964,0.03158627,0.021935746
"(85.0, 90.0]",131,-0.0035905866,0.03659149,0.021999855
