datetime_kst,n_sites_high_err,n_sites_total,max_z,mean_residual
2025-10-31 09:00:00,5,8,3.6500998,-0.011091488
2025-05-04 13:00:00,4,8,3.902074,-0.36033127
2025-04-26 13:00:00,4,8,5.773889,-0.31610844
2025-02-21 18:00:00,4,8,4.4690914,0.019675521
2025-03-06 18:00:00,4,8,4.7674193,0.044829093
2025-01-29 17:00:00,4,8,3.4962518,0.08068985
2025-03-13 18:00:00,4,8,3.9154,0.025190134
2025-05-04 14:00:00,4,8,4.95602,-0.3243753
2025-08-19 08:00:00,4,8,3.0043592,-0.008861626
2025-05-04 15:00:00,3,8,2.6493545,-0.23700617
2025-02-26 18:00:00,3,8,4.1782823,0.009426022
2025-04-26 12:00:00,3,8,2.5731952,-0.22755438
2025-07-08 09:00:00,3,8,3.4518633,-0.03447338
2025-02-05 18:00:00,3,6,2.835693,0.026165461
2025-03-23 18:00:00,3,8,4.8985095,-0.01442842
2025-02-20 18:00:00,3,8,5.2791,0.010635747
2025-07-11 09:00:00,3,8,3.348975,-0.039450288
2025-12-28 16:00:00,3,8,5.0504594,-0.01555195
2025-07-09 10:00:00,3,8,2.9561489,0.00021687895
2025-04-22 14:00:00,3,8,3.227896,0.064804666
2025-12-29 12:00:00,3,8,4.0961704,-0.06842972
2025-02-09 18:00:00,3,8,5.2855134,0.031151183
2025-02-11 18:00:00,3,8,6.3437276,0.01319554
2025-02-19 18:00:00,3,8,5.1644526,0.019139143
2025-02-24 18:00:00,3,8,5.2282085,0.02659877
2025-07-30 08:00:00,3,8,2.7394972,-0.0108476505
2025-07-20 18:00:00,3,8,2.8443205,-0.012699655
2025-02-12 15:00:00,3,8,2.7631698,0.038893435
2025-02-17 18:00:00,3,8,4.9962506,0.010556408
2025-07-29 08:00:00,3,8,2.4946826,-0.014684623
2025-04-26 11:00:00,3,8,3.2083905,-0.169734
2025-01-07 17:00:00,3,8,7.081078,0.037076253
2025-01-23 12:00:00,3,8,3.9315572,-0.030983984
2025-01-23 13:00:00,3,8,4.927431,-0.028246779
2025-03-11 18:00:00,3,8,4.411612,-0.01585665
2025-12-29 15:00:00,3,8,4.086724,-0.08028952
2025-02-22 18:00:00,3,8,5.047256,0.020954661
2025-02-14 18:00:00,3,8,7.796246,0.009928349
2025-02-27 18:00:00,3,8,4.9513273,0.01594439
2025-01-10 17:00:00,3,8,2.899163,0.037767865
2025-02-18 18:00:00,3,8,5.391922,0.015580358
2025-08-16 12:00:00,3,8,5.562282,-0.08414067
2025-07-29 15:00:00,3,8,2.0968714,-0.028244652
2025-08-20 11:00:00,3,8,4.531052,-0.062334836
2025-08-20 15:00:00,3,8,2.5618865,-0.123585954
2025-08-20 16:00:00,3,8,2.7488184,-0.06285763
2025-08-31 15:00:00,3,8,2.9914844,0.04065992
2025-09-24 12:00:00,3,8,2.805047,-0.003815543
2025-09-26 09:00:00,3,8,2.9352849,0.037034865
2025-10-01 18:00:00,3,8,2.2755451,-0.005171311
2025-10-22 13:00:00,3,8,3.4128833,0.009649014
2025-10-22 15:00:00,3,8,3.0878065,0.018916355
2025-07-21 14:00:00,3,8,3.3955774,0.077969745
2025-11-11 17:00:00,3,8,2.8287272,-0.010817183
2025-11-13 13:00:00,3,8,3.0608597,-0.025229765
2025-11-18 09:00:00,3,8,2.628656,-0.003807546
2025-12-30 12:00:00,3,8,3.5330281,-0.05678577
2025-07-22 08:00:00,2,8,2.1191063,-0.0010630535
2025-03-04 15:00:00,2,8,3.0656214,0.07471046
2025-01-03 17:00:00,2,8,3.1738422,0.0016411357
2025-07-29 11:00:00,2,8,2.6526482,0.04162691
2025-07-17 13:00:00,2,8,2.1429243,0.045430277
2025-07-03 10:00:00,2,8,2.6861112,-0.017990202
2025-03-05 09:00:00,2,8,2.7883322,0.014300358
2025-01-04 17:00:00,2,8,2.6808383,0.017900947
2025-01-23 14:00:00,2,8,5.813694,-0.034710135
2025-07-26 10:00:00,2,8,2.9265184,0.003394384
2025-01-23 17:00:00,2,8,3.0659869,-0.009381693
2025-07-29 12:00:00,2,8,2.3807962,0.050718088
2025-07-05 08:00:00,2,8,2.2898092,-0.013060399
2025-01-06 09:00:00,2,7,2.5084715,-0.02026692
2025-05-10 17:00:00,2,8,2.019733,-0.048750814
2025-02-07 16:00:00,2,8,3.9448843,-0.002274057
2025-07-05 09:00:00,2,8,2.7399845,-0.0031073205
2025-01-06 13:00:00,2,8,4.5133514,0.02112238
2025-01-24 17:00:00,2,8,2.2632833,0.014057664
2025-07-26 13:00:00,2,8,2.2827017,0.017213877
2025-07-23 10:00:00,2,8,9.697117,-0.016081661
2025-07-18 17:00:00,2,8,2.3689113,0.00080475304
2025-07-23 11:00:00,2,8,8.844994,0.024319265
2025-03-14 18:00:00,2,8,5.082721,0.029005859
2025-02-28 18:00:00,2,8,5.4285917,0.033457927
2025-01-25 17:00:00,2,8,3.9674683,-0.008024308
2025-07-07 10:00:00,2,8,2.7060337,0.009437483
2025-07-27 08:00:00,2,8,3.098958,-0.016096577
2025-05-31 08:00:00,2,8,2.2804353,0.0013308264
2025-02-08 18:00:00,2,8,5.5019636,0.031122759
2025-03-15 11:00:00,2,8,2.4165819,0.067583606
2025-07-07 14:00:00,2,8,2.1888366,0.043803893
2025-03-22 17:00:00,2,8,3.5724535,-0.020937769
2025-07-30 09:00:00,2,8,2.7094696,-0.0047924984
2025-07-08 11:00:00,2,8,3.8794081,-0.013234552
2025-07-30 10:00:00,2,8,3.607497,0.00849187
2025-03-06 13:00:00,2,8,3.1696444,0.042595603
2025-07-08 16:00:00,2,8,2.924759,-0.06502788
2025-07-08 17:00:00,2,8,3.430677,-0.0767277
2025-07-23 17:00:00,2,8,2.779995,-0.002256127
2025-03-29 18:00:00,2,8,2.9610572,0.03998592
2025-07-09 07:00:00,2,8,2.6974094,-0.019574825
2025-04-06 13:00:00,2,8,6.1471887,-0.12046865
2025-04-06 14:00:00,2,8,7.1502275,-0.13051143
2025-02-10 12:00:00,2,8,3.006905,-0.028266698
2025-01-28 10:00:00,2,8,2.5399134,-0.02623902
2025-07-09 08:00:00,2,8,2.8690865,-0.023244888
2025-04-26 14:00:00,2,8,6.269259,-0.22927308
2025-07-09 09:00:00,2,8,2.8456306,-0.0140750315
2025-01-28 13:00:00,2,8,2.1487093,-0.12948231
2025-02-10 16:00:00,2,8,2.0462003,-0.0663487
2025-01-28 17:00:00,2,8,6.0781364,-0.0064939763
2025-03-23 12:00:00,2,8,20.226732,-0.2129544
2025-07-30 11:00:00,2,8,2.662178,0.038647506
2025-03-23 13:00:00,2,8,15.083309,-0.24209276
2025-03-23 14:00:00,2,8,16.60939,-0.2303782
2025-03-23 15:00:00,2,8,15.252086,-0.20956616
2025-03-23 16:00:00,2,8,2.7891712,-0.07723511
2025-03-23 17:00:00,2,8,2.0649433,-0.026294917
2025-08-10 15:00:00,2,8,2.1254814,-0.039117746
2025-08-10 17:00:00,2,8,2.6416824,-0.053720556
2025-05-15 18:00:00,2,8,2.340786,0.0005127203
2025-04-21 08:00:00,2,8,4.107857,-0.0010266062
2025-02-12 10:00:00,2,8,2.3832598,-0.042998392
2025-04-27 12:00:00,2,8,3.639599,-0.13116461
2025-04-27 13:00:00,2,8,3.3493834,-0.1119322
2025-04-27 14:00:00,2,8,2.7414384,-0.084576935
2025-07-20 11:00:00,2,8,3.249173,0.032191433
2025-07-31 08:00:00,2,8,2.6088607,-0.026433297
2025-04-27 15:00:00,2,8,2.1960728,-0.0962621
2025-07-28 08:00:00,2,8,2.5549812,-0.012990367
2025-07-20 14:00:00,2,8,3.436668,0.016626043
2025-02-12 16:00:00,2,8,2.7532847,0.036891557
