horizon_h,n,mae_A,mae_B,mae_Bp,mae_Bpf,std_A_avg,std_B_avg,std_Bp_avg,std_Bpf_avg,B_improve_%,B_sigred_%,Bp_improve_%,Bp_sigred_%,Bpf_improve_%,Bpf_sigred_%
1,4090,3059.6374536027233,3015.872510376351,3042.5609921670193,3015.1850311923163,4528.316479629177,3725.5991808358926,4022.1185758988286,3726.763405914099,1.430396375061994,17.72661655616037,0.558120420953681,11.178501017044653,1.4528656772084,17.700906668535602
2,4090,3059.6374536027233,3074.166157403446,3084.264323267891,3068.083918647048,4528.316479629177,3920.1461519525815,4137.263760510565,3920.5739542604606,-0.4748505017682789,13.430384788971248,-0.8048950255910098,8.635719717863784,-0.276060976910155,13.420937518450213
3,4090,3059.6374536027233,3081.4214005979084,3081.1770106570266,3077.258619804064,4528.316479629177,4069.6213187232006,4225.695267877346,4069.8532659503758,-0.7119780472530964,10.129485493547893,-0.7039905015197284,6.6828635567585675,-0.5759233395640301,10.124363342121008
4,4090,3059.6374536027233,3067.4732383859473,3067.0591543994315,3066.983904610928,4528.316479629177,4192.231995354538,4301.375264241378,4192.733622087466,-0.2561017408777414,7.421841776883937,-0.2425679809864101,5.011602356167089,-0.2401085461793667,7.41076422223015
5,4090,3059.6374536027233,3060.9348209508644,3059.8508593938586,3060.9545481689133,4528.316479629177,4298.234531489823,4371.28127697204,4298.26307331748,-0.042402649588872084,5.0809599809197765,-0.0069748718392767676,3.467849549905927,-0.043047406307539116,5.080329684256866
6,4090,3059.6374536027233,3058.697688457041,3059.1158138732217,3058.633267105083,4528.316479629177,4386.663839644863,4431.03465694615,4386.594907651524,0.03071491835007813,3.1281523855839954,0.01704906994413429,2.148299994504651,0.032820440750511756,3.1296746288646733
7,4090,3059.6374536027233,3059.207425070734,3058.9139457528854,3059.16889922506,4528.316479629177,4449.347991431257,4473.672415075167,4449.35592808835,0.014054885211408909,1.7438818278970387,0.023646849040430747,1.2067192034794456,0.015314048960652011,1.7437065606177038
8,3951,3129.8282567145466,3129.6975273999237,3129.682740382505,3129.692089899449,4647.409587789226,4606.484074239105,4618.593926871294,4606.48520349599,0.004176884605165841,0.880609138855545,0.004649339200301811,0.6200370415735169,0.004350616197724054,0.8805848402250103
9,3700,3235.0964399358186,3234.887231894463,3234.853452863559,3234.887231894463,4818.3913420456465,4799.525531127746,4804.921897323902,4799.525531127746,0.006466825494684366,0.3915375397858617,0.007510968429252123,0.27954235689013,0.006466825494684366,0.3915375397858617
10,3335,3371.6916287718273,3371.3504323632174,3371.22598587029,3371.3504323632174,4992.456687632105,4985.336256992776,4987.439812600195,4985.336256992776,0.010119442884347865,0.14262378393725084,0.013810364434389547,0.10048910477958202,0.010119442884347865,0.14262378393725084
11,2972,3448.5546011671645,3448.3034830613283,3448.301278803426,3448.3034830613283,5034.907251061745,5033.061623071017,5033.643168465825,5033.061623071017,0.007281836446818085,0.036656643284530104,0.007345754759185119,0.02510637302512496,0.007281836446818085,0.036656643284530104
12,2609,3440.5338912647185,3440.5338912647185,3440.5338912647185,3440.5338912647185,4942.940145625605,4942.940145625605,4942.940145625605,4942.940145625605,0.0,0.0,0.0,0.0,0.0,0.0
13,2245,3308.7605347402855,3308.7605347402855,3308.7605347402855,3308.7605347402855,4681.522849240326,4681.522849240326,4681.522849240326,4681.522849240326,0.0,0.0,0.0,0.0,0.0,0.0
14,1880,2906.026768013805,2906.026768013805,2906.026768013805,2906.026768013805,4263.363679352432,4263.363679352432,4263.363679352432,4263.363679352432,0.0,0.0,0.0,0.0,0.0,0.0
15,1515,2455.6896484238823,2455.6896484238823,2455.6896484238823,2455.6896484238823,3723.625705675914,3723.625705675914,3723.625705675914,3723.625705675914,0.0,0.0,0.0,0.0,0.0,0.0
16,1150,2073.1512665901396,2073.1512665901396,2073.1512665901396,2073.1512665901396,3146.4690278242783,3146.4690278242783,3146.4690278242783,3146.4690278242783,0.0,0.0,0.0,0.0,0.0,0.0
17,785,1703.5027487731086,1703.5027487731086,1703.5027487731086,1703.5027487731086,2539.9466814122266,2539.9466814122266,2539.9466814122266,2539.9466814122266,0.0,0.0,0.0,0.0,0.0,0.0
18,420,1345.1938928629481,1345.1938928629481,1345.1938928629481,1345.1938928629481,1981.3398149985637,1981.3398149985637,1981.3398149985637,1981.3398149985637,0.0,0.0,0.0,0.0,0.0,0.0
19,161,1040.7813887508194,1040.7813887508194,1040.7813887508194,1040.7813887508194,1404.430906194371,1404.430906194371,1404.430906194371,1404.430906194371,0.0,0.0,0.0,0.0,0.0,0.0
