horizon_h,n,imb_A_total_mwh,imb_B_total_mwh,cost_A_total_krw,cost_B_total_krw,std_A_avg,std_B_avg,savings_mwh,savings_krw,savings_pct
1,4090,16254.246527761014,15621.748840206206,2681950677.0805674,2577588558.6340237,4747.287978238158,3997.089406531143,632.4976875548073,104362118.4465437,3.891276574860314
2,4090,16254.246527761014,16090.783066338494,2681950677.0805674,2654979205.945852,4747.287978238158,4312.252970527031,163.46346142251969,26971471.134715557,1.0056661878687234
3,4090,16254.246527761014,16279.961617285097,2681950677.0805674,2686193666.852041,4747.287978238158,4517.492636897895,-25.71508952408294,-4242989.771473408,-0.15820536178137723
4,4090,16254.246527761014,16244.832000231067,2681950677.0805674,2680397280.038126,4747.287978238158,4631.213690943908,9.414527529947009,1553397.042441368,0.05792041798965206
5,4090,16254.246527761014,16265.618325421845,2681950677.0805674,2683827023.6946044,4747.287978238158,4689.249911839928,-11.371797660831362,-1876346.614037037,-0.06996201049004863
6,4090,16254.246527761014,16255.797099162386,2681950677.0805674,2682206521.361794,4747.287978238158,4716.650509371312,-1.5505714013725083,-255844.28122663498,-0.00953948495074987
7,4090,16254.246527761014,16244.637357046857,2681950677.0805674,2680365163.912731,4747.287978238158,4733.024725894335,9.60917071415679,1585513.1678361893,0.05911790926603083
8,3951,16134.452615223556,16110.655095130252,2662184681.5118866,2658258090.6964917,4880.891987802756,4873.581781124672,23.79752009330332,3926590.8153948784,0.1474950570733853
9,3700,15696.20845929203,15675.097196715273,2589874395.783185,2586391037.45802,5063.828740683779,5059.02181556222,21.111262576756417,3483358.325164795,0.13449912207466022
10,3335,14729.543495297667,14720.414213763965,2430374676.7241154,2428868345.2710543,5256.858557750456,5254.564997848693,9.129281533701942,1506331.4530611038,0.061979392210071795
11,2972,13552.67849121412,13550.87256623244,2236191951.0503297,2235893973.428353,5322.857859149844,5321.977614356388,1.8059249816797092,297977.6219768524,0.01332522558436424
12,2609,11904.65759504276,11904.65759504276,1964268503.1820552,1964268503.1820552,5220.192497675317,5220.192497675317,0.0,0.0,0.0
13,2245,9701.824155410315,9701.824155410315,1600800985.642702,1600800985.642702,4956.996112926086,4956.996112926086,0.0,0.0,0.0
14,1880,7104.750170118243,7104.750170118243,1172283778.0695102,1172283778.0695102,4579.176125806094,4579.176125806094,0.0,0.0,0.0
15,1515,4782.874058650455,4782.874058650455,789174219.6773249,789174219.6773249,4054.248054725373,4054.248054725373,0.0,0.0,0.0
16,1150,3054.8169429117665,3054.8169429117665,504044795.58044153,504044795.58044153,3438.6532006683615,3438.6532006683615,0.0,0.0,0.0
17,785,1751.0528965662663,1751.0528965662663,288923727.93343395,288923727.93343395,2793.0360488876913,2793.0360488876913,0.0,0.0,0.0
18,420,718.5866985098179,718.5866985098179,118566805.25411996,118566805.25411996,2166.7608756103277,2166.7608756103277,0.0,0.0,0.0
19,161,199.78242636062018,199.78242636062018,32964100.34950233,32964100.34950233,1484.0129682800707,1484.0129682800707,0.0,0.0,0.0
