순번,발전사명,에너지원,사업명,용량(kW),착공년월,준공년월,위치,투자유형
1,한국남동발전,태양광,영흥#1,1000,2023-05,2023-10,인천광역시 옹진군 영흥면 영흥남로 293번길 75영흥발전본부,자체투자
2,한국남동발전,태양광,삼천포#1,100,2023-05,2023-10,경남 고성군 하이면 하이로1 삼천포발전본부,자체투자
3,한국남동발전,태양광,삼천포#2,990,2023-01,2023-04,경남 고성군 하이면 하이로1 삼천포발전본부,자체투자
4,한국남동발전,태양광,예천,2000,2023-03,2023-09,경북 예천군 용문면 선리 산 42-6 외 5필지,자체투자
5,한국남동발전,태양광,여수#1,55,2023-06,2023-09,전남 여수시 여수산단로 727 여수발전본부,자체투자
6,한국남동발전,태양광,구미정수장,992,2023-06,2023-10,경북 구미시 첨단기업로8 하수종말처리장,자체투자
7,한국남동발전,태양광,탑선옥상형,1010,2023-06,2023-10,전라남도 장성군 동화면 전자농공단지길 32,자체투자
8,한국남동발전,태양광,경상대,905,2023-07,2023-12,경남 진주시 진주대로 501 국립경상대학교,자체투자
9,한국남동발전,태양광,여수 제1호기,63,2023-04,2023-06,전남 여수시 여수산단로 727 여수발전본부,자체투자
10,한국남동발전,태양광,영흥#3,6153,2023-06,2023-11,인천광역시 옹진군 영흥면 영흥남로 293번길 75영흥발전본부,자체투자
11,한국남동발전,태양광,광양항 세방,2993,2023-07,2023-12,전남 광양시 도이동 775 광양 세방㈜,자체투자
12,한국남동발전,태양광,두산엔진MG,77,2023-06,2023-09,경남 창원시 성산구 공단로 21번길 18,자체투자
13,한국남동발전,태양광,삼천포#6(유휴시설 활용 태양광),976,2023-06,2023-12,경남 고성군 하이면 하이로1 삼천포발전본부,자체투자
14,한국남동발전,태양광,햇빛새싹발전소(~'19물량),658,2023-03,2023-12,전국,SPC
15,한국남동발전,태양광,햇빛새싹발전소('20물량),2464,2023-03,2023-12,전국,SPC
16,한국남동발전,태양광,햇빛새싹발전소('21물량),3496,2023-03,2023-12,전국,SPC
17,한국남동발전,태양광,햇빛새싹발전소('22물량),1235,2023-03,2023-12,전국,SPC
18,한국남동발전,태양광,서산태양광,65000,2023-03,2023-08,충남 서산시 부석면 천수만로 533,SPC
19,한국남동발전,태양광,신안태양광(1단계),60000,2023-04,2023-12,전남 신안군 지도읍 일원,SPC
20,한국남동발전,태양광,신안태양광(2단계),90000,2023-04,2023-12,전남 신안군 지도읍 일원,SPC
21,한국남동발전,태양광,새만금 육상1구역,99000,2023-12,2023-12,전북 군산시 오식도동 841,SPC
22,한국남동발전,태양광,고성그린파워 태양광,1638,2023-01,2023-01,경남 고성군 하이면 하이로 34,SPC
23,한국남동발전,태양광,해창만 수상(98MW),68061,2023-04,2023-12,전남 고흥군 포두면 남촌리 996,SPC
24,한국남동발전,연료전지,안산,2640,2023-04,2023-11,경기도 안산시 단원구 원시로 106,자체투자
25,한국남동발전,연료전지,분당#3,5720,2023-07,2023-09,경기도 성남시 분당구 분당로336 분당발전본부,자체투자
26,한국남동발전,연료전지,분당#6,8350,2023-01,2023-10,경기도 성남시 분당구 분당로336 분당발전본부,자체투자
27,한국남동발전,연료전지,여수연료전지,9680,2023-09,2023-09,전라남도 여수시 여수산단로 727,SPC
28,한국남동발전,소수력,"영흥#3,4",3000,2023-01,2023-03,인천광역시 옹진군 영흥면 영흥남로 293번길 75영흥발전본부,자체투자
29,한국남동발전,소수력,"영흥#1,2",4599,2023-01,2023-08,인천광역시 옹진군 영흥면 영흥남로 293번길 75영흥발전본부,자체투자
30,한국남동발전,소수력,삼천포,5000,2023-03,2023-09,경남 고성군 하이면 하이로1 삼천포발전본부,자체투자
31,한국남동발전,소수력,고성그린파워 소수력,5000,2023-02,2023-03,경남 고성군 하이면 하이로 34,SPC
32,한국남동발전,육상풍력,영흥#1,22000,2023-06,2023-08,인천광역시 옹진군 영흥면 영흥남로 293번길 75영흥발전본부,자체투자
33,한국남동발전,육상풍력,영흥#2,24000,2023-07,2023-07,인천광역시 옹진군 영흥면 영흥남로 293번길 75영흥발전본부,자체투자
34,한국남동발전,해상풍력,탐라해상풍력,30000,2023-04,2023-09,제주특별자치도 제주시 한경면 두모11길 19,SPC
35,한국남동발전,해상풍력,한국해상풍력,7500,2023-03,2023-12,전북 부 안군 위도 및 영광군 안마도 해상 일원,SPC
