기준일자,최소값,최대값,평균값,가중평균값,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2024-01-01,92.12,178.74,136.01,137.91,116.43,96.66,92.84,92.12,92.63,93.55,104.92,132.58,154.83,178.74,164.8,159.25,149.01,152.78,154.24,157.01,154.75,154.09,154.6,152.61,147.95,138.39,132.41,136.97
2024-02-01,82.89,152.95,118.25,119.49,102.6,88.59,84.93,82.89,83.77,88.08,96.18,111.97,140.33,152.95,144.88,140.7,124.0,133.31,136.52,133.62,133.96,131.23,132.77,128.01,121.38,117.53,113.19,114.63
2024-03-01,103.8,151.91,133.65,134.4,130.5,113.97,105.81,103.8,107.58,116.86,131.51,138.39,144.89,151.91,143.91,139.69,128.18,131.91,134.04,136.23,134.75,138.79,147.37,146.84,147.16,145.36,143.51,144.72
2024-04-01,96.46,140.81,125.14,125.9,116.1,107.21,99.96,96.46,99.53,108.42,118.52,125.86,137.26,140.81,135.13,128.13,119.1,126.53,129.13,131.96,129.97,133.54,137.75,140.48,139.72,135.94,135.55,130.27
2024-05-01,97.63,140.46,125.59,126.35,116.76,107.96,103.71,97.63,101.9,109.19,112.34,115.36,125.95,133.1,134.09,131.72,131.9,130.72,136.61,134.18,138.12,136.26,137.25,140.46,138.56,136.34,133.42,130.66
2024-06-01,94.85,144.54,124.61,125.99,116.94,103.68,99.18,94.85,95.75,96.28,102.51,113.69,127.25,133.7,139.59,138.08,134.92,138.83,144.54,139.63,141.86,138.06,135.4,135.43,135.81,132.63,128.68,123.41
2024-07-01,98.08,150.2,130.47,132.46,122.25,103.84,99.9,98.08,98.34,99.18,110.29,126.13,135.65,143.18,143.5,146.1,141.32,146.03,150.2,149.43,145.9,142.58,141.18,141.22,142.02,138.4,135.53,130.91
2024-08-01,117.89,164.68,144.21,145.79,140.14,129.12,122.8,119.14,117.89,122.43,127.5,142.25,144.52,149.29,152.88,155.32,153.72,162.95,162.19,164.68,156.47,153.45,152.7,151.75,148.0,146.74,143.64,141.36
2024-09-01,112.23,155.69,137.43,138.78,131.35,116.73,114.44,112.23,112.26,113.44,121.2,133.86,138.76,147.78,147.3,147.17,145.65,148.68,150.01,155.69,151.03,149.83,149.46,148.58,146.28,143.36,140.7,132.56
2024-10-01,89.06,132.97,116.15,117.2,99.27,93.15,91.48,89.06,91.11,94.51,99.66,107.75,126.96,132.0,132.97,132.49,124.78,129.02,131.53,132.0,131.53,130.59,131.94,128.9,123.34,116.53,112.07,105.04
2024-11-01,85.91,130.29,111.47,112.26,105.17,91.04,87.63,85.91,87.59,95.34,105.41,111.56,124.69,129.11,130.29,125.91,110.65,118.57,121.94,122.08,126.11,124.53,122.11,117.15,112.39,108.22,105.73,106.11
2024-12-01,83.75,145.93,115.32,116.58,98.9,87.51,85.32,83.75,84.41,88.89,96.43,113.66,134.75,145.93,142.26,137.48,125.76,128.51,129.92,133.21,130.61,129.28,126.96,124.25,119.33,110.45,106.72,103.37
