에너지원,개발유형,사업명,설비용량
유연탄,자체설비,삼천포발전본부,2120
유연탄,자체설비,영흥발전본부,5080
"LNG, 연료전지",자체설비,분당발전본부,922
우드펠릿,자체설비,영동에코발전본부,325
유연탄,자체설비,여수발전본부,669
유연탄,민자발전,고성발전본부,2080
유연탄,민자발전,강릉발전본부,2080
태양광,자체설비,영흥#1태양광,1
태양광,자체설비,영흥#2태양광,0.993
태양광,자체설비,영흥#3태양광,6.153
태양광,자체설비,영흥#5태양광,3.5
태양광,자체설비,삼천포#1태양광,0.1
태양광,자체설비,삼천포#2태양광,0.99
태양광,자체설비,삼천포#3태양광,0.35
태양광,자체설비,삼천포#4태양광,1.85
태양광,자체설비,삼천포#5태양광,10.587
태양광,자체설비,여수#1태양광,0.055
태양광,자체설비,여수#2태양광,0.063
태양광,자체설비,여수종합사옥태양광,0.049
태양광,자체설비,영동태양광,1.065
태양광,자체설비,예천태양광,2
태양광,자체설비,구미정수장태양광,0.992
태양광,자체설비,탑선옥상형태양광,1.01
태양광,자체설비,경상대태양광,0.905
태양광,자체설비,고흥만수상태양광,63.481
태양광,자체설비,광양항세방태양광,2.993
태양광,자체설비,창원HSD엔진MG태양광,0.077
태양광,SPC,고속도로태양광,7.97
태양광,SPC,군산수상태양광,18.7
태양광,SPC,햇빛새싹발전소태양광,8.194
태양광,SPC,밀양태양광,0.208
태양광,SPC,서산태양광,65
태양광,SPC,영암태양광,94
태양광,SPC,신안태양광,150
태양광,SPC,새만금육상1구역태양광,99
태양광,SPC,고성그린파워태양광,1.638
태양광,SPC,해창만수상태양광,68.061
풍력,자체설비,영흥#1풍력,22
풍력,자체설비,영흥#2풍력,24
풍력,자체설비,삼천포소형풍력,0.75
풍력,자체설비,경북군위화산풍력,11.55
풍력,자체설비,제주어음풍력,21
연료전지,자체설비,분당#2연료전지,3.08
연료전지,자체설비,분당#3연료전지,5.72
연료전지,자체설비,분당#4연료전지,16.72
연료전지,자체설비,분당#5연료전지,5.72
연료전지,자체설비,분당#6연료전지,8.35
연료전지,자체설비,안산연료전지,2.64
연료전지,자체설비,여수연료전지,9.68
수력,자체설비,"영흥#1,2소수력",4.599
수력,자체설비,삼천포소수력,5
수력,자체설비,"영흥#3,4소수력",3
수력,자체설비,"영흥#5,6소수력",5
ESS,자체설비,영흥#1풍력연계ESS,4
ESS,자체설비,영흥#2풍력연계ESS,4
ESS,자체설비,영흥태양광연계ESS,7
ESS,자체설비,삼천포태양광연계ESS,12.5
ESS,자체설비,영동#1태양광연계ESS,1
ESS,자체설비,경북군위화산풍력연계ESS,3.2
ESS,자체설비,창원HSD엔진태양광연계ESS,0.1
풍력,SPC,삼수풍력,22.5
풍력,SPC,한국해상풍력,7.5
풍력,SPC,탐라해상풍력,30
연료전지,SPC,화성연료전지,19.8
ESS,SPC,서산태양광ESS,52
ESS,SPC,영암태양광ESS,78
태양광,해외사업,불가리아 태양광 발전(ASM),20.14
태양광,해외사업,불가리아 태양광 발전(RES),21.48
수력,해외사업,파키스탄 Gulpur 수력발전,102
수력,해외사업,파키스탄 Asrit Kedam 수력발전,229
수력,해외사업,파키스탄 Kalam Asrit 수력발전,238
수력,해외사업,네팔 UT-1 수력발전,216
태양광,해외사업,칠레 태양광 발전(Chile Solar JV SpA),48.6
태양광,해외사업,칠레 태양광 발전(Santiago Solar JV SpA),52
화력,해외사업,인도네시아 Amurang 발전 기술지원 사업,60
