사업소,호기,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
본사,10001 본사,1,0,1,0,1,0,0,1,0,0,0,1
본사,20000 본사 사옥,2,0,0,0,1,0,0,0,0,0,3,0
삼천포,51901 제1호기,0,0,0,0,0,1,0,0,0,1,1,0
삼천포,51902 제2호기,0,0,0,0,0,1,0,0,0,0,0,0
삼천포,51903 제3호기,102,79,57,90,57,83,64,83,51,60,38,73
삼천포,51904 제4호기,75,74,74,84,71,97,66,89,40,19,48,109
삼천포,51905 제5호기,75,57,80,60,52,46,64,81,62,55,48,40
삼천포,51906 제6호기,61,91,49,37,15,38,70,62,48,49,56,36
삼천포,51930 공용설비(전 발전소),322,361,254,294,286,239,278,320,260,286,291,299
삼천포,"51931 제1,2호기 공용설비",2,1,0,6,1,1,2,2,0,1,1,0
삼천포,"51932 제3,4호기 공용설비",27,26,28,32,40,34,36,31,25,28,18,25
삼천포,"51933 제5,6호기 공용설비",32,32,23,29,19,20,25,30,21,21,21,15
삼천포,51934 제1~4호기,0,0,1,0,0,0,0,0,0,0,0,0
삼천포,51961 해양소수력,9,6,8,1,1,5,1,11,3,4,4,4
삼천포,51971 태양광 #1CC,1,0,2,0,2,1,2,0,0,1,1,0
삼천포,51972 태양광 #2CC,0,0,0,0,0,0,0,0,4,0,1,2
삼천포,51974 태양광 #4CC,0,0,1,0,2,1,1,5,3,1,1,2
삼천포,51990 신재생 송전설비,0,1,0,0,0,0,0,0,0,0,0,0
영흥,52901 제1호기,30,11,17,16,17,33,25,31,27,20,23,29
영흥,52902 제2호기,60,18,10,15,11,18,10,13,9,12,11,17
영흥,52903 제3호기,63,76,70,35,34,64,41,40,46,49,27,34
영흥,52904 제4호기,61,37,49,41,71,47,27,43,32,46,20,16
영흥,52905 제5호기,82,77,44,78,66,56,60,77,71,84,94,49
영흥,52906 제6호기,51,51,64,64,74,64,54,74,74,74,42,45
영흥,"52931 제1,2호기 공용설비",29,24,12,14,13,31,40,32,19,15,19,14
영흥,"52932 제3,4호기 공용설비",24,19,18,19,12,10,28,28,15,24,9,11
영흥,"52933 제5,6호기 공용설비",38,28,38,36,38,43,49,60,51,49,34,37
영흥,52934 공용설비(전 발전소),331,288,294,313,369,294,326,341,258,246,298,253
영흥,52941 ESS #1,0,0,1,1,1,1,0,0,1,1,0,0
영흥,52942 ESS #2,1,1,0,0,0,0,0,1,1,0,2,1
영흥,52945 태양광 2단지 ESS,0,0,0,1,0,0,1,1,1,0,0,0
영흥,52947 태양광 3단지-2 ESS,0,0,0,0,0,0,1,0,0,0,0,0
영흥,"52960 해양소수력(#1,2)",1,0,0,2,0,0,0,0,0,0,0,4
영흥,"52961 해양소수력(#3,4)",2,3,1,0,0,0,2,1,3,0,1,1
영흥,"52962 해양소수력(#5,6)",1,1,4,3,5,4,7,4,2,5,4,0
영흥,52971 태양광 1단지,3,5,3,2,2,2,0,5,5,6,5,3
영흥,52972 태양광 2단지,0,0,0,0,0,1,0,1,1,0,0,1
영흥,52981 풍력 1단지,4,4,1,2,4,3,4,0,1,4,3,5
영흥,52991 풍력 2단지,3,1,5,0,2,1,0,0,6,1,4,4
영동,53901 제1호기,102,118,119,72,61,78,48,179,72,93,157,88
영동,53902 제2호기,105,89,81,54,31,80,63,159,53,71,103,89
영동,"53930 제1,2호기 공용설비",47,68,58,32,19,50,40,67,50,47,59,50
영동,53961 태양광SP#1,0,0,6,0,2,1,0,1,2,1,1,0
여수,54901 제1호기,68,69,44,51,12,17,64,73,61,100,78,49
여수,54902 제2호기,85,100,121,58,50,44,94,116,122,79,52,51
여수,54909 제 9호기,3,1,1,5,0,1,6,0,1,1,1,2
여수,"54930 제1,2호기 공용설비",125,113,114,95,62,71,100,131,107,102,131,92
여수,54971 태양광,0,0,0,0,0,0,0,1,0,0,0,0
여수,54976 연료전지 1호기,3,2,2,1,3,0,2,2,1,0,1,0
분당,55901 #1 GT,12,14,14,7,17,11,12,18,29,12,12,6
분당,55902 #2 GT,12,9,4,10,13,3,7,9,1,8,17,12
분당,55903 #3 GT,5,3,7,6,13,5,8,5,5,7,11,16
분당,55904 #4 GT,6,6,1,6,2,20,6,5,6,7,9,14
분당,55905 #5 GT,4,3,15,1,2,1,5,7,2,6,6,9
분당,55906 #6 GT,20,10,10,7,6,9,7,15,12,10,13,4
분당,55907 #7 GT,11,6,6,6,5,16,9,9,5,7,5,7
분당,55908 #8 GT,12,10,10,4,20,9,13,8,10,2,9,15
분당,55911 #1 ST,14,11,18,17,27,21,25,23,22,23,30,25
분당,55912 #2 ST,9,15,22,15,3,11,9,5,8,8,10,15
분당,55921 #1CC 공용설비,18,11,11,28,15,14,19,21,13,14,15,21
분당,55922 #2CC 공용설비,11,7,7,21,2,7,10,3,9,4,13,14
분당,"55930 #1,2 CC 공용설비",34,36,26,32,31,20,27,36,26,29,29,19
분당,55951 #1 CC 연료전지,0,0,0,0,0,0,0,0,1,2,0,0
분당,55952 #2 CC 연료전지,23,6,16,10,4,15,19,10,11,12,10,3
분당,55957 안산연료전지,0,0,1,1,0,2,0,0,0,0,0,0
분당,55973 공용,1,2,0,1,0,0,1,0,0,0,1,1
