ÀÏÀÚ,À¯¿¬Åº(Åæ),ºÎ»ý¿¬·áÀ¯(L),¿ìµåÆç¸´(Åæ)
2017-01-01,7835,,
2017-01-02,8138,,
2017-01-03,8075,,
2017-01-04,8030,,
2017-01-05,8203,,
2017-01-06,7706,,
2017-01-07,8838,,
2017-01-08,8434,,
2017-01-09,8093,,
2017-01-10,8013,,
2017-01-11,8080,,
2017-01-12,8076,,
2017-01-13,8693,,
2017-01-14,8320,,
2017-01-15,7950,,
2017-01-16,8595,,
2017-01-17,8982,,
2017-01-18,8967,,
2017-01-19,8869,,
2017-01-20,8678,,
2017-01-21,8882,,
2017-01-22,8333,,
2017-01-23,8625,,
2017-01-24,9130,,
2017-01-25,8533,,
2017-01-26,8659,,
2017-01-27,7274,,
2017-01-28,6713,,
2017-01-29,6823,,
2017-01-30,7514,,
2017-01-31,8311,,
2017-02-01,8195,,
2017-02-02,8446,,
2017-02-03,8228,,
2017-02-04,7793,,
2017-02-05,7373,,
2017-02-06,8315,,
2017-02-07,7620,,
2017-02-08,7492,,
2017-02-09,7733,,
2017-02-10,7677,,
2017-02-11,7555,,
2017-02-12,6936,,
2017-02-13,8447,,
2017-02-14,8070,,
2017-02-15,8269,,
2017-02-16,8197,,
2017-02-17,7935,,
2017-02-18,7616,26250,
2017-02-19,4115,750,
2017-02-20,3891,,
2017-02-21,4198,,
2017-02-22,4160,,
2017-02-23,4175,,
2017-02-24,4230,,
2017-02-25,4116,,
2017-02-26,4219,,
2017-02-27,4015,,
2017-02-28,3990,,
2017-03-01,4050,,
2017-03-02,3973,,
2017-03-03,3988,,
2017-03-04,3992,,
2017-03-05,3941,,
2017-03-06,3899,,
2017-03-07,3849,,
2017-03-08,3729,,
2017-03-09,3938,,
2017-03-10,3920,,
2017-03-11,3887,,
2017-03-12,3916,,
2017-03-13,3946,,
2017-03-14,3421,23092,
2017-03-15,86,249638,
2017-03-16,,,
2017-03-17,,,
2017-03-18,146,221000,
2017-03-19,3969,,
2017-03-20,3956,,
2017-03-21,3867,,
2017-03-22,3957,,
2017-03-23,3945,,
2017-03-24,3901,,
2017-03-25,3993,,
2017-03-26,4054,,
2017-03-27,4146,,
2017-03-28,4185,,
2017-03-29,4252,13500,
2017-03-30,4246,53018,
2017-03-31,4157,224524,
2017-04-01,6775,204000,
2017-04-02,7211,,
2017-04-03,6307,58028,
2017-04-04,5872,254500,
2017-04-05,7562,,
2017-04-06,7800,,
2017-04-07,7734,,
2017-04-08,7842,,
2017-04-09,7317,,
2017-04-10,7554,,
2017-04-11,7663,,
2017-04-12,7801,,
2017-04-13,7761,,
2017-04-14,8256,,
2017-04-15,7512,,
2017-04-16,7527,,
2017-04-17,7889,,
2017-04-18,8013,,
2017-04-19,7810,,
2017-04-20,7777,,
2017-04-21,7735,,
2017-04-22,7947,,
2017-04-23,7617,,
2017-04-24,7599,,
2017-04-25,7903,,
2017-04-26,7668,,
2017-04-27,7672,,
2017-04-28,7923,,
2017-04-29,7869,,
2017-04-30,7853,,
2017-05-01,7376,,
2017-05-02,7752,,
2017-05-03,7993,,
2017-05-04,7986,,
2017-05-05,7615,,
2017-05-06,7181,,
2017-05-07,6593,,
2017-05-08,7685,,
2017-05-09,7871,,
2017-05-10,7916,,
2017-05-11,7781,,
2017-05-12,7903,,
2017-05-13,7156,3300,
2017-05-14,2742,515,
2017-05-15,3443,,
2017-05-16,3119,,
2017-05-17,2840,,
2017-05-18,3031,,
2017-05-19,3357,,
2017-05-20,2599,,
2017-05-21,2707,,
2017-05-22,3057,,
2017-05-23,3190,,
2017-05-24,3282,,
2017-05-25,2950,,
2017-05-26,3012,,
2017-05-27,2695,,
2017-05-28,2848,,
2017-05-29,3029,,
2017-05-30,3086,,
2017-05-31,3472,,
2017-06-01,3632,,
2017-06-02,3682,,
2017-06-03,3297,85036,
2017-06-04,4999,314914,
2017-06-05,7826,,
2017-06-06,7672,,
2017-06-07,7916,,
2017-06-08,7926,,
2017-06-09,8130,,
2017-06-10,7964,,
2017-06-11,7594,,
2017-06-12,7783,,
2017-06-13,8132,,
2017-06-14,8159,,
2017-06-15,8506,,
2017-06-16,8498,,
2017-06-17,8221,,
2017-06-18,7880,,
2017-06-19,8215,,
2017-06-20,8380,,
2017-06-21,8349,,
2017-06-22,8351,,
2017-06-23,8699,,
2017-06-24,8641,,
2017-06-25,8474,,
2017-06-26,8365,,
2017-06-27,8336,,
2017-06-28,8759,,
2017-06-29,8562,,
2017-06-30,8346,,
2017-07-01,8340,,
2017-07-02,8146,,
2017-07-03,7676,,
2017-07-04,7960,,
2017-07-05,8182,,
2017-07-06,7999,,
2017-07-07,7668,,
2017-07-08,7891,,
2017-07-09,7594,,
2017-07-10,7538,,
2017-07-11,7799,,
2017-07-12,7965,,
2017-07-13,8079,,
2017-07-14,7971,,
2017-07-15,7606,,
2017-07-16,7570,,
2017-07-17,7777,,
2017-07-18,7992,,
2017-07-19,8333,,
2017-07-20,8279,,
2017-07-21,8460,,
2017-07-22,8504,,
2017-07-23,7690,,
2017-07-24,8127,,
2017-07-25,8357,,
2017-07-26,8286,,
2017-07-27,8319,,
2017-07-28,8463,,
2017-07-29,8361,,
2017-07-30,7765,,
2017-07-31,8040,,
2017-08-01,7766,,
2017-08-02,8010,,
2017-08-03,7816,,
2017-08-04,7953,,
2017-08-05,8267,,
2017-08-06,8237,,
2017-08-07,8134,,
2017-08-08,7939,,296
2017-08-09,8041,,421
2017-08-10,7926,,435
2017-08-11,7955,,429
2017-08-12,8043,,423
2017-08-13,7554,,434
2017-08-14,7565,,435
2017-08-15,7766,,425
2017-08-16,7999,,444
2017-08-17,7850,,367
2017-08-18,7781,,433
2017-08-19,7942,,428
2017-08-20,7430,,391
2017-08-21,8094,,392
2017-08-22,8041,,280
