사업소명,연월일,배출량(억톤)
영흥발전본부,2018-01-01,3.1
영흥발전본부,2018-02-01,2.8
영흥발전본부,2018-03-01,2.84
영흥발전본부,2018-04-01,2.32
영흥발전본부,2018-05-01,2.67
영흥발전본부,2018-06-01,2.36
영흥발전본부,2018-07-01,4.43
영흥발전본부,2018-08-01,5.13
영흥발전본부,2018-09-01,4.95
영흥발전본부,2018-10-01,5.02
영흥발전본부,2018-11-01,4.06
영흥발전본부,2018-12-01,3.75
삼천포발전본부,2018-01-01,2.59
삼천포발전본부,2018-02-01,2.32
삼천포발전본부,2018-03-01,1.75
삼천포발전본부,2018-04-01,1.64
삼천포발전본부,2018-05-01,1.7
삼천포발전본부,2018-06-01,1.7
삼천포발전본부,2018-07-01,2.53
삼천포발전본부,2018-08-01,2.76
삼천포발전본부,2018-09-01,2.49
삼천포발전본부,2018-10-01,1.7
삼천포발전본부,2018-11-01,1.86
삼천포발전본부,2018-12-01,2.43
여수발전본부,2018-01-01,0.39
여수발전본부,2018-02-01,0.35
여수발전본부,2018-03-01,0.32
여수발전본부,2018-04-01,0.32
여수발전본부,2018-05-01,0.39
여수발전본부,2018-06-01,0.54
여수발전본부,2018-07-01,0.78
여수발전본부,2018-08-01,0.78
여수발전본부,2018-09-01,0.45
여수발전본부,2018-10-01,0.34
여수발전본부,2018-11-01,0.42
여수발전본부,2018-12-01,0.39
영동에코발전본부,2018-01-01,0.08
영동에코발전본부,2018-02-01,0.05
영동에코발전본부,2018-03-01,0.07
영동에코발전본부,2018-04-01,0.1
영동에코발전본부,2018-05-01,0.02
영동에코발전본부,2018-06-01,0.11
영동에코발전본부,2018-07-01,0.25
영동에코발전본부,2018-08-01,0.27
영동에코발전본부,2018-09-01,0.22
영동에코발전본부,2018-10-01,0.26
영동에코발전본부,2018-11-01,0.11
영동에코발전본부,2018-12-01,0.11
영흥발전본부,2019-01-01,3.45
영흥발전본부,2019-02-01,2.93
영흥발전본부,2019-03-01,3.01
